ApsimVersion = 7.10 r4220
Title = scen_1_1
           Date          bd(1) paddock.soybean.yield paddock.wheat.yield paddock.maize.yield          sw(1)          st(1) paddock.soybean.biomass paddock.wheat.biomass paddock.maize.biomass         stover         dul(1)         sat(1)          ph(1) n2o_bylayer_kgha(1) n2o_bylayer_kgha(2) n2o_bylayer_kgha(3) n2o_bylayer_kgha(4) n2o_bylayer_kgha(5) oc_bylayer_kgha(1) oc_bylayer_kgha(2) oc_bylayer_kgha(3) oc_bylayer_kgha(4) oc_bylayer_kgha(5)
   (dd/mm/yyyy)       (g/cm^3)               (kg/ha)             (kg/ha)             (kg/ha)        (mm/mm)           (oC)                 (kg/ha)               (kg/ha)               (kg/ha)        (kg/ha)        (mm/mm)        (mm/mm)           (pH)             (kg/ha)             (kg/ha)             (kg/ha)             (kg/ha)             (kg/ha)                (%)                (%)                (%)                (%)                (%)
     01/01/2003          0.800                   0.0                 0.0                 0.0          0.190          0.685                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87000000         0.43000000         0.43000000         0.23300000         0.19000100
     02/01/2003          0.800                   0.0                 0.0                 0.0          0.189          0.382                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87000000         0.43000000         0.43000000         0.23300100         0.19000100
     03/01/2003          0.800                   0.0                 0.0                 0.0          0.192          0.035                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87000000         0.43000000         0.43000100         0.23300100         0.19000100
     04/01/2003          0.800                   0.0                 0.0                 0.0          0.186          0.722                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87000300         0.43000100         0.43000100         0.23300100         0.19000200
     05/01/2003          0.800                   0.0                 0.0                 0.0          0.186          1.098                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87000300         0.43000100         0.43000100         0.23300200         0.19000200
     06/01/2003          0.800                   0.0                 0.0                 0.0          0.197          0.944                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87000300         0.43000100         0.43000100         0.23300200         0.19000300
     07/01/2003          0.800                   0.0                 0.0                 0.0          0.195          1.123                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87000300         0.43000100         0.43000200         0.23300300         0.19000300
     08/01/2003          0.800                   0.0                 0.0                 0.0          0.188          2.656                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87004800         0.43000200         0.43000200         0.23300400         0.19000400
     09/01/2003          0.800                   0.0                 0.0                 0.0          0.184          3.224                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87009100         0.43000300         0.43000300         0.23300400         0.19000500
     10/01/2003          0.800                   0.0                 0.0                 0.0          0.193          2.791                     0.0                   0.0                   0.0            0.0          0.260          0.438          5.500          0.00000000          0.00000000          0.00000000          0.00000000          0.00000000         0.87009200         0.43000400         0.43000300         0.23300500         0.19000600
