# Soil Moisture - with Trace Gas Sampling,,,,,
#,,,,,
# Original Data Source: https://lter.kbs.msu.edu/datatables/157,,,,,
# The newest version of the data https://lter.kbs.msu.edu/datatables/157.csv,,,,,
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/16.eml,,,,,
#,,,,,
# These Data are copyrighted and use in a publication requires written permission,,,,,
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/,,,,,
# Use of the data constitutes acceptance of the terms.,,,,,
#,,,,,
#     VARIATE TABLE,,,,,
"# date		sample date",,,,,
"# treatment		LTER treatment",,,,,
"# replicate		LTER replicate",,,,,
"# sub_plot		additional experimental treatment such as fertilization",,,,,
"# moisture	gramsPerGram	measured soil moisture as a fraction (dry weight basis)",,,,,
"# comments		comments about the observation",,,,,
#,,,,,
#,,,,,
#        DATA TABLE CORRECTIONS AND COMMENTS,,,,,
#2012-10-2 Sven Bohm. Discovered that the wet and dry weights were not corrected by the tin weight in the lab. I uploaded the tin weights to the tins table and corrected the moistures in the view. The lack correction caused a slight under estimation of the soil moisture in this dataset.,,,,,
#2021-12-14 Sven Bohm. Added T and R prefixes to treatment and replicate.,,,,,
#,,,,,
#,,,,gramsPerGram,
date,treatment,replicate,sub_plot,moisture,comments
11/13/2007,T6,R3,,0.22,
11/13/2007,T6,R4,,0.16,
11/13/2007,T7,R1,,0.16,
11/13/2007,T7,R2,,0.22,
11/13/2007,T7,R3,,0.19,
11/13/2007,T7,R4,,0.15,
11/13/2007,TDF,R1,,0.17,
11/13/2007,TDF,R2,,0.15,
11/13/2007,TDF,R3,,0.19,
5/14/2003,T2,R4,,0.49,
8/29/2007,T7,R3,,0.17,
8/29/2007,T7,R4,,0.17,
8/29/2007,TDF,R1,,0.17,
8/29/2007,TDF,R2,,0.14,
8/29/2007,TDF,R3,,0.17,
9/12/2007,T1,R1,,0.13,
9/12/2007,T1,R2,,0.14,
3/25/2004,T5,R3,,,
9/12/2007,T1,R3,,0.08,
9/12/2007,T1,R4,,0.13,
9/12/2007,T2,R1,,0.14,
9/12/2007,T2,R2,,0.13,
9/12/2007,T2,R3,,0.14,
9/12/2007,T2,R4,,0.18,
9/12/2007,T3,R1,,0.15,
9/12/2007,T3,R2,,0.12,
9/12/2007,T3,R3,,0.12,
9/12/2007,T3,R4,,0.12,
9/12/2007,T4,R1,,0.12,
9/12/2007,T4,R2,,0.13,
9/12/2007,T4,R3,,0.15,
9/12/2007,T4,R4,,0.13,
9/12/2007,T5,R1,,0.15,
9/12/2007,T5,R2,,0.16,
9/12/2007,T5,R3,,0.12,
9/12/2007,T5,R4,,0.14,
9/12/2007,T6,R1,,0.14,
9/12/2007,T6,R2,,0.13,
9/12/2007,T6,R3,,0.15,
9/12/2007,T6,R4,,0.12,
9/12/2007,T7,R1,,0.13,
9/12/2007,T7,R2,,0.16,
9/12/2007,T7,R3,,0.15,
9/12/2007,T7,R4,,0.16,
9/12/2007,TDF,R1,,0.12,
9/12/2007,TDF,R2,,0.12,
9/12/2007,TDF,R3,,0.12,
9/26/2007,T1,R1,,0.13,
9/26/2007,T1,R2,,0.15,
9/26/2007,T1,R3,,0.13,
9/26/2007,T1,R4,,0.14,
9/26/2007,T2,R1,,0.14,
9/26/2007,T2,R2,,0.13,
9/26/2007,T2,R3,,0.14,
9/26/2007,T2,R4,,0.19,
9/26/2007,T3,R1,,0.12,
9/26/2007,T3,R2,,0.13,
9/26/2007,T3,R3,,0.16,
9/26/2007,T3,R4,,0.16,
9/26/2007,T4,R1,,0.12,
9/26/2007,T4,R2,,0.16,
9/26/2007,T4,R3,,0.14,
9/26/2007,T4,R4,,0.17,
9/26/2007,T5,R1,,0.14,
9/26/2007,T5,R2,,0.14,
9/26/2007,T5,R3,,0.17,
9/26/2007,T5,R4,,0.18,
9/26/2007,T6,R1,,0.15,
9/26/2007,T6,R2,,0.12,
9/26/2007,T6,R3,,0.18,
9/26/2007,T6,R4,,0.14,
9/26/2007,T7,R1,,0.16,
9/26/2007,T7,R2,,0.18,
9/26/2007,T7,R3,,0.18,
9/26/2007,T7,R4,,0.16,
9/26/2007,TDF,R1,,0.13,
9/26/2007,TDF,R2,,0.1,
9/26/2007,TDF,R3,,0.1,
10/17/2007,T1,R1,,0.16,
10/17/2007,T1,R2,,0.21,
10/17/2007,T1,R3,,0.15,
10/17/2007,T1,R4,,0.18,
10/17/2007,T2,R1,,0.15,
10/17/2007,T2,R2,,0.15,
10/17/2007,T2,R3,,0.16,
10/17/2007,T2,R4,,0.2,
10/17/2007,T3,R1,,0.18,
10/17/2007,T3,R2,,0.17,
10/17/2007,T3,R3,,0.16,
10/17/2007,T3,R4,,0.17,
10/17/2007,T4,R1,,0.17,
10/17/2007,T4,R2,,0.2,
10/17/2007,T4,R3,,0.19,
10/17/2007,T4,R4,,0.18,
10/17/2007,T5,R1,,0.21,
10/17/2007,T5,R2,,0.18,
10/17/2007,T5,R3,,0.19,
10/17/2007,T5,R4,,0.19,
10/17/2007,T6,R1,,0.19,
10/17/2007,T6,R2,,0.19,
10/17/2007,T6,R3,,0.22,
10/17/2007,T6,R4,,0.19,
10/17/2007,T7,R1,,0.2,
10/17/2007,T7,R2,,0.23,
10/17/2007,T7,R3,,0.19,
10/17/2007,T7,R4,,0.17,
10/17/2007,TDF,R1,,0.18,
10/17/2007,TDF,R2,,0.14,
10/17/2007,TDF,R3,,0.19,
11/13/2007,T1,R1,,0.15,
11/13/2007,T1,R2,,0.18,
11/13/2007,T1,R3,,0.12,
11/13/2007,T1,R4,,0.15,
11/13/2007,T2,R1,,0.13,
11/13/2007,T2,R2,,0.13,
