# Soil Total Carbon and Nitrogen by Depth - Deep Cores,,,,,,,
#,,,,,,,
# Original Data Source: https://lter.kbs.msu.edu/datatables/164,,,,,,,
# The newest version of the data https://lter.kbs.msu.edu/datatables/164.csv,,,,,,,
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/47.eml,,,,,,,
#,,,,,,,
# These Data are copyrighted and use in a publication requires written permission,,,,,,,
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/,,,,,,,
# Use of the data constitutes acceptance of the terms.,,,,,,,
#,,,,,,,
#     VARIATE TABLE,,,,,,,
"# sample_date		date the sample was taken",,,,,,,
"# treatment		treatment the sample was collected from",,,,,,,
"# replicate		replicate that the sample was collected from",,,,,,,
"# station		station within the plot that was sampled",,,,,,,
"# core		there were 2 cores taken at each sample site. in 2001 core 1 was analyzed and core 2 was archived.",,,,,,,
"# depth		slice of the deepcore",,,,,,,
"# n_percent	gramsPerHectogram	average percent N in the sample",,,,,,,
"# c_percent	gramsPerHectogram	average percent of C in the sample",,,,,,,
#,,,,,,,
#,,,,,,,
#        DATA TABLE CORRECTIONS AND COMMENTS,,,,,,,
#2012-1-12. Sven Bohm. Discovered that T4 rep 6 had some sample_dates coded as 2006 rather than 2001. I've corrected the dates.,,,,,,,
#2012-1-13. Sven Bohm. Included the core in the data. In 2001 we only analyzed core 1. I also discovered that the dataset included all the individual approved measurements. I changed it to report one average measurement for each treatment, replicate, depth (section) and core.,,,,,
#2019-3-28 Sven Bohm. treatment T1 replicate 1 station 1 and 2  and T6 rep 1 station 5 had samples that were re-run and the re-run samples were coded with the wrong sample dates,  This resulted in two sample dates for those stations in the output dataset. I updated the sample_dates on the rerun samples and excluded the original samples from the dataset.,,,,,,
#,,,,,,,
#,,,,,,gramsPerHectogram,gramsPerHectogram
sample_date,treatment,replicate,station,core,depth,n_percent,c_percent
10/19/2001,TSF,R1,1,C1,Deep,0.02,0.2165
10/19/2001,TSF,R1,1,C1,Middle,0.0545,0.3165
10/19/2001,TSF,R1,1,C1,Surface,0.196,1.9323
10/19/2001,TSF,R1,2,C1,Deep,0.035,0.111
10/19/2001,TSF,R1,2,C1,Middle,0.055,0.3037
10/19/2001,TSF,R1,2,C1,Surface,0.1567,1.7343
10/19/2001,TSF,R1,3,C1,Deep,0.0337,0.121
10/19/2001,TSF,R1,3,C1,Middle,0.048,0.221
10/19/2001,TSF,R1,3,C1,Surface,0.1283,1.019
10/19/2001,TSF,R1,4,C1,Deep,0.036,0.2005
10/19/2001,TSF,R1,4,C1,Middle,0.0533,0.37
10/19/2001,TSF,R1,4,C1,Surface,0.1517,1.4307
10/19/2001,TSF,R1,5,C1,Deep,0.0225,0.139
10/19/2001,TSF,R1,5,C1,Middle,0.0487,0.3497
10/19/2001,TSF,R1,5,C1,Surface,0.1747,1.738
10/18/2001,TDF,R3,4,C1,Deep,0.0074,0.1846
10/18/2001,TDF,R3,4,C1,Middle,0.0348,0.4654
10/18/2001,TDF,R3,4,C1,Surface,0.233,3.0154
10/18/2001,TDF,R3,5,C1,Deep,0.0345,0.2209
10/18/2001,TDF,R3,5,C1,Middle,0.0246,0.2931
10/18/2001,TDF,R3,5,C1,Surface,0.2275,3.1606
10/10/2001,TDF,R3,1,C1,Deep,0.0341,0.1562
10/10/2001,TDF,R3,1,C1,Middle,0.0266,0.5117
10/10/2001,TDF,R3,1,C1,Surface,0.2307,2.9522
10/10/2001,TDF,R3,3,C1,Deep,0.0236,0.2249
10/10/2001,TDF,R3,3,C1,Middle,0.0384,0.3753
10/10/2001,TDF,R3,3,C1,Surface,0.2229,2.7072
10/9/2001,TDF,R3,2,C1,Deep,0.0355,0.1556
10/9/2001,TDF,R3,2,C1,Middle,0.0257,0.4386
10/9/2001,TDF,R3,2,C1,Surface,0.2405,2.9151
10/4/2001,TDF,R2,2,C1,Deep,0.0449,0.3435
10/4/2001,TDF,R2,2,C1,Middle,0.0896,0.9899
10/4/2001,TDF,R2,2,C1,Surface,0.2263,2.8941
10/4/2001,TDF,R2,3,C1,Deep,0.0218,0.213
10/4/2001,TDF,R2,3,C1,Middle,0.109,1.1397
10/4/2001,TDF,R2,3,C1,Surface,0.3363,4.1963
10/4/2001,TDF,R2,4,C1,Deep,0.0177,0.0837
10/4/2001,TDF,R2,4,C1,Middle,0.03,0.416
10/4/2001,TDF,R2,4,C1,Surface,0.152,1.9833
10/4/2001,TDF,R2,5,C1,Deep,0.056,0.4343
10/4/2001,TDF,R2,5,C1,Middle,0.0487,0.6563
10/4/2001,TDF,R2,5,C1,Surface,0.1713,2.2803
10/3/2001,TCF,R2,1,C1,Middle,0.039,0.2317
10/3/2001,TCF,R2,1,C1,Surface,0.1572,2.275
10/3/2001,TCF,R2,2,C1,Deep,0.0043,0.0613
10/3/2001,TCF,R2,2,C1,Middle,0.0291,0.2866
10/3/2001,TCF,R2,2,C1,Surface,0.1585,2.4846
10/3/2001,TCF,R2,3,C1,Deep,0.0217,0.0698
10/3/2001,TCF,R2,3,C1,Middle,0.0366,0.3579
10/3/2001,TCF,R2,3,C1,Surface,0.1296,2.0333
10/3/2001,TCF,R2,4,C1,Deep,0.009,0.089
10/3/2001,TCF,R2,4,C1,Middle,0.0673,0.6444
10/3/2001,TCF,R2,4,C1,Surface,0.3059,4.4857
10/3/2001,TCF,R2,5,C1,Middle,0.0505,0.3201
10/3/2001,TCF,R2,5,C1,Surface,0.121,1.9001
10/3/2001,TSF,R3,1,C1,Deep,0.0189,0.9527
10/3/2001,TSF,R3,1,C1,Middle,0.0215,0.4519
10/3/2001,TSF,R3,1,C1,Surface,0.2142,2.6079
10/3/2001,TSF,R3,5,C1,Deep,0.0118,0.0661
10/3/2001,TSF,R3,5,C1,Middle,0.0435,0.179
10/3/2001,TSF,R3,5,C1,Surface,0.1089,1.2728
10/2/2001,TCF,R3,1,C1,Deep,0.019,0.107
10/2/2001,TCF,R3,1,C1,Middle,0.0548,0.5278
