# Soil Total Carbon and Nitrogen by Depth - Deep Cores
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/164
# The newest version of the data https://lter.kbs.msu.edu/datatables/164.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/47.eml
#
# These Data are copyrighted and use in a publication requires written permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# sample_date		date the sample was taken
# treatment		treatment the sample was collected from
# replicate		replicate that the sample was collected from
# station		station within the plot that was sampled
# core		there were 2 cores taken at each sample site. in 2001 core 1 was analyzed and core 2 was archived.
# section		slice of the deepcore
# section_length	centimeter	length of the section
# top_depth	centimeter	top depth of the core section in centimeters from the surface
# bottom_depth	centimeter	bottom depth of the core in centimeters from the surface
# core_volume_cm3	cubicCentimeter	the volume of the core section
# gravel_free_bulk_density	gramsPerCubicCentimeter	bulk density of the core section excluding gravel
# total_bulk_density	gramsPerCubicCentimeter	total bulk density of the core section including the gravel.
# n_percent	gramsPerHectogram	average percent N in the sample
# c_percent	gramsPerHectogram	average percent of C in the sample
# flag		outlier flag 'O'
# comment		comment about the sample
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#2012-1-12. Sven Bohm. Discovered that T4 rep 6 had some sample_dates coded as 2006 rather than 2001. I've corrected the dates.
#2012-1-13. Sven Bohm. Included the core in the data. In 2001 we only analyzed core 1. I also discovered that the dataset included all the individual approved measurements. I changed it to report one average measurement for each treatment, replicate, depth (section) and core.
#2022-12-14 Sven Bohm. Removed 2013 data at Phil's request.
#2019-3-28 Sven Bohm. treatment T1 replicate 1 station 1 and 2  and T6 rep 1 station 5 had samples that were re-run and the re-run samples were coded with the wrong sample dates,  This resulted in two sample dates for those stations in the output dataset. I updated the sample_dates on the rerun samples and excluded the original samples from the dataset.
#
sample_date,treatment,replicate,station,core,section,section_length,top_depth,bottom_depth,core_volume_cm3,gravel_free_bulk_density,total_bulk_density,n_percent,c_percent,flag,comment
#,,,,,,centimeter,centimeter,centimeter,cubicCentimeter,gramsPerCubicCentimeter,gramsPerCubicCentimeter,gramsPerHectogram,gramsPerHectogram,,
2001-10-19,TSF,R1,S1,C1,Deep,,,,,,,0.02,0.2165,,
2001-10-19,TSF,R1,S1,C1,Middle,,,,,,,0.0545,0.3165,,
2001-10-19,TSF,R1,S1,C1,Surface,,,,,,,0.196,1.9323,,
2001-10-19,TSF,R1,S2,C1,Deep,,,,,,,0.035,0.111,,
2001-10-19,TSF,R1,S2,C1,Middle,,,,,,,0.055,0.3037,,
2001-10-19,TSF,R1,S2,C1,Surface,,,,,,,0.1567,1.7343,,
2001-10-19,TSF,R1,S3,C1,Deep,,,,,,,0.0337,0.121,,
2001-10-19,TSF,R1,S3,C1,Middle,,,,,,,0.048,0.221,,
2001-10-19,TSF,R1,S3,C1,Surface,,,,,,,0.1283,1.019,,
2001-10-19,TSF,R1,S4,C1,Deep,,,,,,,0.036,0.2005,,
2001-10-19,TSF,R1,S4,C1,Middle,,,,,,,0.0533,0.37,,
2001-10-19,TSF,R1,S4,C1,Surface,,,,,,,0.1517,1.4307,,
2001-10-19,TSF,R1,S5,C1,Deep,,,,,,,0.0225,0.139,,
2001-10-19,TSF,R1,S5,C1,Middle,,,,,,,0.0487,0.3497,,
2001-10-19,TSF,R1,S5,C1,Surface,,,,,,,0.1747,1.738,,
2001-10-18,TDF,R3,S4,C1,Deep,,,,,,,0.0074,0.1846,,
2001-10-18,TDF,R3,S4,C1,Middle,,,,,,,0.0348,0.4654,,
2001-10-18,TDF,R3,S4,C1,Surface,,,,,,,0.233,3.0154,,
2001-10-18,TDF,R3,S5,C1,Deep,,,,,,,0.0345,0.2209,,
2001-10-18,TDF,R3,S5,C1,Middle,,,,,,,0.0246,0.2931,,
2001-10-18,TDF,R3,S5,C1,Surface,,,,,,,0.2275,3.1606,,
2001-10-10,TDF,R3,S1,C1,Deep,,,,,,,0.0341,0.1562,,
2001-10-10,TDF,R3,S1,C1,Middle,,,,,,,0.0266,0.5117,,
2001-10-10,TDF,R3,S1,C1,Surface,,,,,,,0.2307,2.9522,,
2001-10-10,TDF,R3,S3,C1,Deep,,,,,,,0.0236,0.2249,,
2001-10-10,TDF,R3,S3,C1,Middle,,,,,,,0.0384,0.3753,,
2001-10-10,TDF,R3,S3,C1,Surface,,,,,,,0.2229,2.7072,,
2001-10-09,TDF,R3,S2,C1,Deep,,,,,,,0.0355,0.1556,,
2001-10-09,TDF,R3,S2,C1,Middle,,,,,,,0.0257,0.4386,,
2001-10-09,TDF,R3,S2,C1,Surface,,,,,,,0.2405,2.9151,,
2001-10-04,TDF,R2,S2,C1,Deep,,,,,,,0.0449,0.3435,,
2001-10-04,TDF,R2,S2,C1,Middle,,,,,,,0.0896,0.9899,,
2001-10-04,TDF,R2,S2,C1,Surface,,,,,,,0.2263,2.8941,,
2001-10-04,TDF,R2,S3,C1,Deep,,,,,,,0.0218,0.213,,
2001-10-04,TDF,R2,S3,C1,Middle,,,,,,,0.109,1.1397,,
2001-10-04,TDF,R2,S3,C1,Surface,,,,,,,0.3363,4.1963,,
2001-10-04,TDF,R2,S4,C1,Deep,,,,,,,0.0177,0.0837,,
2001-10-04,TDF,R2,S4,C1,Middle,,,,,,,0.03,0.416,,
2001-10-04,TDF,R2,S4,C1,Surface,,,,,,,0.152,1.9833,,
2001-10-04,TDF,R2,S5,C1,Deep,,,,,,,0.056,0.4343,,
2001-10-04,TDF,R2,S5,C1,Middle,,,,,,,0.0487,0.6563,,
2001-10-04,TDF,R2,S5,C1,Surface,,,,,,,0.1713,2.2803,,
2001-10-03,TCF,R2,S1,C1,Middle,,,,,,,0.039,0.2317,,
