# Soil Temperature - with Trace Gas Sampling,,,,
#,,,,
# Original Data Source: https://lter.kbs.msu.edu/datatables/167,,,,
# The newest version of the data https://lter.kbs.msu.edu/datatables/167.csv,,,,
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/16.eml,,,,
#,,,,
# These Data are copyrighted and use in a publication requires written permission,,,,
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/,,,,
# Use of the data constitutes acceptance of the terms.,,,,
#,,,,
#     VARIATE TABLE,,,,
"# date		date the measurement was taken",,,,
"# treatment		treatment the measurement was made from",,,,
"# replicate		replicate the measurement was made from",,,,
"# soil_temperature	celsius	soil temperature at 10 cm",,,,
"# year		year the measurement was taken",,,,
#,,,,
#,,,,
#        DATA TABLE CORRECTIONS AND COMMENTS,,,,
#,,,,
#,,,celsius,
date,treatment,replicate,soil_temperature,year
6/12/1991,T1,R1,,1991
6/12/1991,T1,R2,,1991
6/12/1991,T1,R3,,1991
6/12/1991,T1,R4,,1991
6/12/1991,T2,R1,,1991
6/12/1991,T2,R2,,1991
6/12/1991,T2,R3,,1991
6/12/1991,T2,R4,,1991
6/12/1991,T3,R1,,1991
6/12/1991,T3,R2,,1991
6/12/1991,T3,R3,,1991
6/12/1991,T3,R4,,1991
6/12/1991,T4,R1,,1991
6/12/1991,T4,R2,,1991
6/12/1991,T4,R3,,1991
6/12/1991,T4,R4,,1991
6/12/1991,T5,R1,,1991
6/12/1991,T5,R2,,1991
6/12/1991,T5,R3,,1991
6/12/1991,T5,R4,,1991
6/12/1991,T6,R1,,1991
6/12/1991,T6,R2,,1991
6/12/1991,T6,R3,,1991
6/12/1991,T6,R4,,1991
6/12/1991,T7,R1,,1991
6/12/1991,T7,R2,,1991
6/12/1991,T7,R3,,1991
6/12/1991,T7,R4,,1991
6/12/1991,T8,R1,,1991
6/12/1991,T8,R2,,1991
6/12/1991,T8,R3,,1991
6/12/1991,T8,R4,,1991
6/20/1991,T1,R1,,1991
6/20/1991,T1,R2,,1991
6/20/1991,T1,R3,,1991
6/20/1991,T1,R4,,1991
6/20/1991,T2,R1,,1991
6/20/1991,T2,R2,,1991
6/20/1991,T2,R3,,1991
6/20/1991,T2,R4,,1991
6/20/1991,T3,R1,,1991
6/20/1991,T3,R2,,1991
6/20/1991,T3,R3,,1991
6/20/1991,T3,R4,,1991
6/20/1991,T4,R1,,1991
6/20/1991,T4,R2,,1991
6/20/1991,T4,R3,,1991
6/20/1991,T4,R4,,1991
6/20/1991,T5,R1,,1991
6/20/1991,T5,R2,,1991
6/20/1991,T5,R3,,1991
6/20/1991,T5,R4,,1991
6/20/1991,T6,R1,,1991
6/20/1991,T6,R2,,1991
6/20/1991,T6,R3,,1991
6/20/1991,T6,R4,,1991
6/20/1991,T7,R1,,1991
6/20/1991,T7,R2,,1991
6/20/1991,T7,R3,,1991
6/20/1991,T7,R4,,1991
6/20/1991,T8,R1,,1991
6/20/1991,T8,R2,,1991
6/20/1991,T8,R3,,1991
6/20/1991,T8,R4,,1991
7/1/1991,T1,R1,,1991
7/1/1991,T1,R2,,1991
7/1/1991,T1,R3,,1991
7/1/1991,T1,R4,,1991
7/1/1991,T2,R1,,1991
7/1/1991,T2,R2,,1991
7/1/1991,T2,R3,,1991
7/1/1991,T2,R4,,1991
7/1/1991,T3,R1,,1991
7/1/1991,T3,R2,,1991
7/1/1991,T3,R3,,1991
7/1/1991,T3,R4,,1991
7/1/1991,T4,R1,,1991
7/1/1991,T4,R2,,1991
7/1/1991,T4,R3,,1991
7/1/1991,T4,R4,,1991
7/1/1991,T5,R1,,1991
7/1/1991,T5,R2,,1991
7/1/1991,T5,R3,,1991
7/1/1991,T5,R4,,1991
7/1/1991,T6,R1,,1991
7/1/1991,T6,R2,,1991
7/1/1991,T6,R3,,1991
7/1/1991,T6,R4,,1991
7/1/1991,T7,R1,,1991
7/1/1991,T7,R2,,1991
7/1/1991,T7,R3,,1991
7/1/1991,T7,R4,,1991
7/1/1991,T8,R1,,1991
7/1/1991,T8,R2,,1991
7/1/1991,T8,R3,,1991
7/1/1991,T8,R4,,1991
7/3/1991,T1,R1,,1991
7/3/1991,T1,R2,,1991
7/3/1991,T1,R3,,1991
7/3/1991,T1,R4,,1991
7/3/1991,T2,R1,,1991
7/3/1991,T2,R2,,1991
7/3/1991,T2,R3,,1991
7/3/1991,T2,R4,,1991
7/3/1991,T3,R1,,1991
7/3/1991,T3,R2,,1991
7/3/1991,T3,R3,,1991
7/3/1991,T3,R4,,1991
7/3/1991,T4,R1,,1991
7/3/1991,T4,R2,,1991
7/3/1991,T4,R3,,1991
7/3/1991,T4,R4,,1991
7/3/1991,T5,R1,,1991
7/3/1991,T5,R2,,1991
7/3/1991,T5,R3,,1991
7/3/1991,T5,R4,,1991
7/3/1991,T6,R1,,1991
7/3/1991,T6,R2,,1991
7/3/1991,T6,R3,,1991
7/3/1991,T6,R4,,1991
7/3/1991,T7,R1,,1991
7/3/1991,T7,R2,,1991
7/3/1991,T7,R3,,1991
7/3/1991,T7,R4,,1991
7/3/1991,T8,R1,,1991
7/3/1991,T8,R2,,1991
7/3/1991,T8,R3,,1991
7/3/1991,T8,R4,,1991
7/16/1991,T1,R1,,1991
7/16/1991,T1,R2,,1991
7/16/1991,T1,R3,,1991
7/16/1991,T1,R4,,1991
7/16/1991,T2,R1,,1991
7/16/1991,T2,R2,,1991
7/16/1991,T2,R3,,1991
7/16/1991,T2,R4,,1991
7/16/1991,T3,R1,,1991
7/16/1991,T3,R2,,1991
7/16/1991,T3,R3,,1991
7/16/1991,T3,R4,,1991
7/16/1991,T4,R1,,1991
7/16/1991,T4,R2,,1991
7/16/1991,T4,R3,,1991
7/16/1991,T4,R4,,1991
7/16/1991,T5,R1,,1991
7/16/1991,T5,R2,,1991
7/16/1991,T5,R3,,1991
7/16/1991,T5,R4,,1991
7/16/1991,T6,R1,,1991
7/16/1991,T6,R2,,1991
7/16/1991,T6,R3,,1991
7/16/1991,T6,R4,,1991
7/16/1991,T7,R1,,1991
7/16/1991,T7,R2,,1991
7/16/1991,T7,R3,,1991
7/16/1991,T7,R4,,1991
7/16/1991,T8,R1,,1991
