# N2O, CH4, CO2 Fluxes via Static Chambers,,,,,,,
#,,,,,,,,,
# Original Data Source: https://lter.kbs.msu.edu/datatables/28,,,,,,,,,
# The newest version of the data https://lter.kbs.msu.edu/datatables/28.csv,,,,,,,,,
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/16.eml,,,,,,,,,
#,,,,,,,,,
# These Data are copyrighted and use in a publication requires written permission,,,,,,,,,
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/,,,,,,,,,
# Use of the data constitutes acceptance of the terms.,,,,,,,,,
#,,,,,,,,,
#     VARIATE TABLE,,,,,,,,,
"# Sample_Date		date of sampling",,,,,,,,,
"# Treatment		treatment",,,,,,,,,
"# Replicate		replicate",,,,,,,,,
"# CH4_C	gramsPerHectarePerDay	flux of methane (CH4) as C",,,,,,,,,
"# CO2_C	kilogramsPerHectarePerDay	flux of carbon dioxide (CO2) as C",,,,,,,,,
"# N2O_N	gramsPerHectarePerDay	flux of nitrous oxide (N2O) as N",,,,,,,,,
"# Year		sample year",,,,,,,,,
"# temperature	celsius	the air temperature used for the flux calculation",,,,,,,,,
"# moisture	gramsPerGram	gravimetric soil moisture ",,,,,,,,,
"# crop		the crop grown that year",,,,,,,,,
#,,,,,,,,,
#,,,,,,,,,
#        DATA TABLE CORRECTIONS AND COMMENTS,,,,,,,,,
#<p>8-21-2003 Tim Bergsma.  Recently, the units for CO<sub>2</sub> fluxes have been challenged.  The issue is under review.<br> 10-1-2003 Sven Bohm. Unit problems resoved. CO<sub>2</sub> units changed from g C/ha/day to kg C/ha/day <br>12-16-2004 Sven Bohm. A reminder note that the gas samples in 1995 were only run for CH4 due to the long storage times between sampling and analysis as well as the discovery that the rubber seals used tended to leak quite rapidly</p><p>4-11-2006 Sven Bohm. Prior to 2000 two repliate chambers were used in the forested treatments, they were reported as reps 1 through 6. They map on the current sampling scheme as rep 1-2 is R1, rep 3-4 is R2 and rep 5-6 is R3</p>,,,,,,
