# Soil Bulk Density by Depth - Deep Cores,,,,,,,,,,,
#,,,,,,,,,,,
# Original Data Source: https://lter.kbs.msu.edu/datatables/308,,,,,,,,,,,
# The newest version of the data https://lter.kbs.msu.edu/datatables/308.csv,,,,,,,,,,,
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/47.eml,,,,,,,,,,,
#,,,,,,,,,,,
# These Data are copyrighted and use in a publication requires written permission,,,,,,,,,,,
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/,,,,,,,,,,,
# Use of the data constitutes acceptance of the terms.,,,,,,,,,,,
#,,,,,,,,,,,
#     VARIATE TABLE,,,,,,,,,,,
"# year		sample year",,,,,,,,,,,
"# treatment		treatment that was sampled",,,,,,,,,,,
"# replicate		replicate plot that was sampled",,,,,,,,,,,
"# station		station within the plot that was sampled",,,,,,,,,,,
"# core		core identifier for the station (generally two cores were taken per station)",,,,,,,,,,,
"# section		horizon section (cores were divided into surface", middle and deep sections pre 2013 and by depth in 2013),,,,,,,,,,
"# horizon_length	centimeter	length of the horizon sampled",,,,,,,,,,,
"# core_volume_cm3	cubicCentimeter	core volume of the section",,,,,,,,,,,
"# gravel_free_bulk_density	gramsPerCubicCentimeter	bulk density of the gravel free portion of the soil (gravel >4 mm	removed)",,,,,,,,,,,
"# total_bulk_density	gramsPerCubicCentimeter	bulk density (including any gravel)",,,,,,,,,,,
"# gravel_weight_g	gram	",,,,,,,,,,,
"# comments		any observations relating to this core",,,,,,,,,,,
#,,,,,,,,,,,
#,,,,,,,,,,,
#        DATA TABLE CORRECTIONS AND COMMENTS,,,,,,,,,,,
#2019-1-16 Sven Bohm. For the 2013 samples the dry weights were incorrectly calculated as wet * (1-moisture) when it should have been wet /(1+moisture) . The error has been corrected.,,,,,,,,,,,
#2019-1-18 Sven Bohm. re include the gravel free bulk density in the output.,,,,,,,,,,,
#2019-6-25. Sven Bohm. The 2001 samples mistakenly used the tube diameter instead of the cutting head diameter to calculate  the volume for the bulk density, The tube diameter was 6.6 cm while the cutting head diameter as 6 cm . This resulted in much lower bulk densities (since the volume was bigger) The error has been corrected.,,,,,,,,,,
#2021-10-19 Sven Bohm. Embargoed 2013 data at Phil's request.,,,,,,,,,,,
#,,,,,,,,,,,
#,,,,,,centimeter,cubicCentimeter,gramsPerCubicCentimeter,gramsPerCubicCentimeter,gram,
year,treatment,replicate,station,core,section,horizon_length,core_volume_cm3,gravel_free_bulk_density,total_bulk_density,gravel_weight_g,comments
2001,T3,R4,S4,1,Deep,0,0,,,,no D profile
2001,T3,R4,S4,2,Deep,0,0,,,,
2001,T1,R1,S1,1,Surface,27,763.41,1.13,1.17,36.56,
2001,T1,R1,S1,1,Middle,18,508.94,1.76,1.83,36.58,
2001,T1,R1,S1,1,Deep,55,1555.09,1.66,1.83,256.87,
2001,T1,R1,S1,2,Surface,23,650.31,1.7,1.74,21.22,
2001,T1,R1,S1,2,Middle,15,424.12,1.8,1.82,10.11,
2001,T1,R1,S1,2,Deep,62,1753.01,1.65,1.79,240.45,
2001,T1,R1,S2,1,Surface,22,622.04,1.69,1.78,56.46,
2001,T1,R1,S2,1,Middle,30,848.23,1.71,1.88,141.28,
2001,T1,R1,S2,1,Deep,48,1357.17,1.74,1.9,215.5,
2001,T1,R1,S2,2,Surface,15,424.12,1.71,1.79,36.86,* depth adjusted from 17 cm to 15 cm
2001,T1,R1,S2,2,Middle,18,508.94,1.7,1.77,33.8,
2001,T1,R1,S2,2,Deep,67,1894.38,1.77,1.88,209.03,
2001,T1,R1,S3,1,Surface,31,876.5,1.63,1.71,69.48,
2001,T1,R1,S3,1,Middle,39,1102.7,1.77,1.83,67.79,
2001,T1,R1,S3,1,Deep,30,848.23,1.64,1.84,174.16,fungi
2001,T1,R1,S3,2,Surface,22,226.19,1.46,1.52,12.89,
2001,T1,R1,S3,2,Middle,25,254.47,1.71,1.96,65.6,
2001,T1,R1,S3,2,Deep,53,1498.54,1.67,1.77,156.42,
2001,T1,R1,S4,1,Surface,22,622.04,1.54,1.69,91.84,  * changed from 24 cm to 22based on hue and texture
2001,T1,R1,S4,1,Middle,36,735.13,1.76,1.81,35.76,
2001,T1,R1,S4,1,Deep,41,1159.25,1.38,1.81,492.6,a small gap at end
2001,T1,R1,S4,2,Surface,30,848.23,1.73,1.85,95.28,
2001,T1,R1,S4,2,Middle,33,933.05,1.66,1.75,84.6,
2001,T1,R1,S4,2,Deep,37,1046.15,1.67,1.94,278.22,
2001,T1,R1,S5,1,Surface,24,678.58,1.46,1.49,24.91,
2001,T1,R1,S5,1,Middle,42,1187.52,1.72,1.77,62.9,
2001,T1,R1,S5,1,Deep,34,961.33,1.79,1.99,197.4,
2001,T1,R1,S5,2,Surface,26,735.13,1.63,1.65,16.06,
2001,T1,R1,S5,2,Middle,24,678.58,1.69,1.76,45.34,
2001,T1,R1,S5,2,Deep,50,1413.72,1.64,1.92,397.92,
2001,T1,R2,S1,1,Surface,13,367.57,1.37,1.39,9.35,
2001,T1,R2,S1,1,Middle,54,1526.81,1.66,1.77,167.24,
2001,T1,R2,S1,1,Deep,33,933.05,1.63,1.97,319.19,
2001,T1,R2,S1,2,Surface,12,339.29,1.61,1.64,9.64,
2001,T1,R2,S1,2,Middle,39,1102.7,1.73,1.81,87.68,
2001,T1,R2,S1,2,Deep,49,1385.44,1.81,1.99,249.79,
2001,T1,R2,S2,1,Surface,9,254.47,1.34,1.38,10.23,
2001,T1,R2,S2,1,Middle,60,1696.46,1.57,1.71,237.83,
2001,T1,R2,S2,1,Deep,31,876.5,1.77,1.94,154.62,
2001,T1,R2,S2,2,Surface,12,339.29,1.31,1.43,40.45,
2001,T1,R2,S2,2,Middle,50,1413.72,1.61,1.71,133.64,
2001,T1,R2,S2,2,Deep,38,1074.42,1.79,1.9,123.48,
2001,T1,R2,S3,1,Surface,11,311.02,1.52,1.63,32.59,
2001,T1,R2,S3,1,Middle,50,1413.72,1.5,1.65,214.65,
2001,T1,R2,S3,1,Deep,39,1102.7,1.75,1.86,119.12,
2001,T1,R2,S3,2,Surface,10,282.74,1.51,1.53,7.21,
2001,T1,R2,S3,2,Middle,31,876.5,1.64,1.66,21.93,
2001,T1,R2,S3,2,Deep,59,1668.19,1.53,1.82,487.37,
2001,T1,R2,S4,1,Surface,12,339.29,1.37,1.52,49.35,
2001,T1,R2,S4,1,Middle,48,1357.17,1.63,1.66,31.67,
2001,T1,R2,S4,1,Deep,40,1130.97,1.58,1.93,399.59,
2001,T1,R2,S4,2,Surface,11,311.02,1.55,1.6,15.32,
2001,T1,R2,S4,2,Middle,44,1244.07,1.63,1.76,164.41,
2001,T1,R2,S4,2,Deep,45,1272.35,1.78,2.01,294.73,
2001,T1,R2,S5,1,Surface,11,311.02,1.17,1.32,45.99,
2001,T1,R2,S5,1,Middle,37,1046.15,1.62,1.69,68.3,
2001,T1,R2,S5,1,Deep,52,1470.27,1.51,1.82,454,
2001,T1,R2,S5,2,Surface,9,254.47,1.08,1.15,17.89,
2001,T1,R2,S5,2,Middle,50,1413.72,1.65,1.74,133.81,
2001,T1,R2,S5,2,Deep,37,1046.15,1.41,1.79,391.55,
2001,T1,R3,S1,1,Surface,14,395.84,1.51,1.68,66.98,
2001,T1,R3,S1,1,Middle,45,1272.35,1.72,1.81,107.53,
2001,T1,R3,S1,1,Deep,41,1159.25,1.76,1.76,1.74,
2001,T1,R3,S1,2,Surface,18,508.94,1.63,1.71,41.72,
2001,T1,R3,S1,2,Middle,15,424.12,1.46,1.75,122.63,
2001,T1,R3,S1,2,Deep,67,1894.38,1.7,1.8,200.68,
2001,T1,R3,S2,1,Surface,21,593.76,1.55,1.6,31.72,* hor depth chaned based on conv. w/ Dr. M
2001,T1,R3,S2,1,Middle,38,1074.42,1.7,1.85,159.73,
2001,T1,R3,S2,1,Deep,41,1159.25,1.68,1.79,129.54,
2001,T1,R3,S2,2,Surface,10,282.74,1.43,1.46,10.15,
2001,T1,R3,S2,2,Middle,46,1300.62,1.72,1.77,68.96,
2001,T1,R3,S2,2,Deep,44,1244.07,1.79,1.89,112.81,
2001,T1,R3,S3,1,Surface,12,339.29,1.47,1.47,0.83,fungi
2001,T1,R3,S3,1,Middle,46,1300.62,1.52,1.52,4.01,hyphae filaments?
2001,T1,R3,S3,1,Deep,42,1187.52,1.53,1.7,209.98,fungi
2001,T1,R3,S3,2,Surface,17,480.66,1.34,1.35,2.6,
2001,T1,R3,S3,2,Middle,53,1498.54,1.4,1.4,4.54,
2001,T1,R3,S3,2,Deep,30,848.23,1.8,1.84,28.46,fungi
2001,T1,R3,S4,1,Surface,21,593.76,1.34,1.4,38.16,fungi
2001,T1,R3,S4,1,Middle,47,1328.89,1.53,1.63,122.53,
2001,T1,R3,S4,1,Deep,32,904.78,1.41,1.64,206.22,
2001,T1,R3,S4,2,Surface,16,452.39,1.44,1.46,8.22,
2001,T1,R3,S4,2,Middle,58,1639.91,1.46,1.59,208.58,
2001,T1,R3,S4,2,Deep,26,735.13,1.54,1.88,246.9,
2001,T1,R3,S5,1,Surface,18,508.94,1.38,1.38,1.5,fungal growth
2001,T1,R3,S5,1,Middle,46,1300.62,1.49,1.5,8.24,
2001,T1,R3,S5,1,Deep,36,1017.88,1.55,1.69,143.98,fungal growth
2001,T1,R3,S5,2,Surface,15,424.12,1.55,1.56,3.66,
2001,T1,R3,S5,2,Middle,52,1470.27,1.47,1.47,6.57,
2001,T1,R3,S5,2,Deep,33,933.05,1.57,1.8,210.88,fungal growth
2001,T1,R4,S1,1,Surface,25,706.86,1.54,1.61,47,
2001,T1,R4,S1,1,Middle,31,876.5,1.68,1.75,60.56,
2001,T1,R4,S1,1,Deep,44,1244.07,1.45,1.66,259.28,
2001,T1,R4,S1,2,Surface,26,735.13,1.57,1.61,27.47,
2001,T1,R4,S1,2,Middle,23,650.31,1.68,1.87,122.91,
2001,T1,R4,S1,2,Deep,51,1441.99,1.59,1.85,366.34,
2001,T1,R4,S2,1,Surface,25,706.86,1.56,1.61,30.61,
2001,T1,R4,S2,1,Middle,28,791.68,1.61,1.71,80.28,
2001,T1,R4,S2,1,Deep,47,1328.89,1.4,1.61,277.89,
2001,T1,R4,S2,2,Surface,34,961.33,1.4,1.44,41.26,
2001,T1,R4,S2,2,Middle,29,819.96,1.53,1.74,177.05,
2001,T1,R4,S2,2,Deep,37,1046.15,1.52,1.82,312.49,
2001,T1,R4,S3,1,Surface,26,735.13,1.56,1.59,17.55,
2001,T1,R4,S3,1,Middle,29,819.96,1.71,1.77,48.69,
2001,T1,R4,S3,1,Deep,45,1272.35,1.37,1.64,353.41,
2001,T1,R4,S3,2,Surface,24,678.58,1.56,1.58,8.73,
2001,T1,R4,S3,2,Middle,38,1074.42,1.72,1.77,56.41,
2001,T1,R4,S3,2,Deep,38,1074.42,1.54,1.82,303.31,
2001,T1,R4,S4,1,Surface,22,622.04,1.59,1.62,15.88,
2001,T1,R4,S4,1,Middle,50,1413.72,1.7,1.79,130.46,
2001,T1,R4,S4,1,Deep,28,791.68,1.55,1.86,244.59,
2001,T1,R4,S4,2,Surface,25,706.86,1.57,1.59,17.27,
2001,T1,R4,S4,2,Middle,45,1272.35,1.79,1.87,101.92,
2001,T1,R4,S4,2,Deep,30,848.23,1.69,1.82,111.5,
2001,T1,R4,S5,1,Surface,28,791.68,1.58,1.62,30.6,
2001,T1,R4,S5,1,Middle,42,1187.52,1.67,1.79,150.89,
2001,T1,R4,S5,1,Deep,30,848.23,1.59,1.8,174.24,
2001,T1,R4,S5,2,Surface,25,706.86,1.56,1.59,20.22,
2001,T1,R4,S5,2,Middle,75,2120.58,1.6,1.76,326.6,
2001,T1,R4,S5,2,Deep,0,0,,,,no deep profile
2001,T1,R5,S1,1,Surface,18,508.94,1.64,1.72,37.2,
2001,T1,R5,S1,1,Middle,18,254.47,1.68,1.69,3.68,
2001,T1,R5,S1,1,Deep,64,1809.56,1.68,1.82,237.97,
