# Tissue Carbon and Nitrogen,,,,,,,
#,,,,,,,
# Original Data Source: https://lter.kbs.msu.edu/datatables/73,,,,,,,
# The newest version of the data https://lter.kbs.msu.edu/datatables/73.csv,,,,,,,
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/32.eml,,,,,,,
#,,,,,,,
# These Data are copyrighted and use in a publication requires written permission,,,,,,,
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/,,,,,,,
# Use of the data constitutes acceptance of the terms.,,,,,,,
#,,,,,,,
#     VARIATE TABLE,,,,,,,
"# sample_date		date of sample harvest",,,,,,,
"# Trt		treatment",,,,,,,
"# Rep		replicate",,,,,,,
"# species		species measured",,,,,,,
"# type		classification of species or differentiation of crop tissues", etc.,,,,,,
"# percent_C	gramsPerHectogram	percent carbon",,,,,,,
"# percent_N	gramsPerHectogram	percent nitrogen",,,,,,,
"# year		sample year",,,,,,,
#,,,,,,,
#,,,,,,,
#        DATA TABLE CORRECTIONS AND COMMENTS,,,,,,,
#,,,,,,,
#,,,,,gramsPerHectogram,gramsPerHectogram,
sample_date,Trt,Rep,species,type,percent_C,percent_N,year
5/14/2018,T6,R5,Medicago sativa L.,,41.123,4.243,2018
5/29/2013,T6,R6,UnSorted,,42.092,1.744,2013
7/6/1993,T7,R1,Solidago canadensis L.,NDB,43.62,1.55,1993
10/31/1990,T4,R2,Zea mays L. (*),STOVER,44.34,0.95,1990
10/7/2003,T5,R1,Festuca rubra L.,,39.526,1.698,2003
8/6/2002,T7,R5,Aggregate of live biomass except for the top 3 species which are analysed sepearately,,45.197,1.153,2002
5/20/2015,T6,R5,UnSorted,,41.484,2.353,2015
9/8/1993,T5,,Trunks of poplars - CN code,TRUNK,43.42,1.67,1993
9/14/1999,T2,R6,Zea mays L. (*),STOVER,45.57,0.63,1999
9/14/1999,T1,R1,Zea mays L. (*),SEED,43.2,1.53,1999
10/17/2017,T1,R5,Zea mays L. (*),STOVER,44.589,0.436,2017
5/18/2015,T3,R2,Secale cereale M.Bieb.,,43.017,1.793,2015
7/12/2010,T3,R4,aggregate of live biomass except for Triticum sp.,,45.023,1.611,2010
8/3/2016,T7,R5,Surface Litter,,35.722,1.084,2016
11/14/2016,T7,R2,Surface Litter,,43.35,0.871,2016
8/5/1992,T5,R3,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,46.04,1.2,1992
10/4/1993,T3,R3,Zea mays L. (*),SEED,51.12,2,1993
7/25/2012,T8,R3,Solidago canadensis L.,,44.239,1.196,2012
8/4/2008,T7,R1,Poa pratensis L.,,42.813,0.959,2008
10/27/2011,T3,R2,Zea mays L. (*),STOVER,44.81,0.818,2011
10/2/1995,T6,R2,Medicago sativa L.,NDB,42.81,3.3,1995
8/11/1999,T7,R4,Apocynum cannabinum L.,NDB,47.02,1.15,1999
5/19/2014,T3,R1,UnSorted,,42.446,1.869,2014
7/6/1998,T3,R5,Aggregate of live biomass except for the top 3 species which are analysed sepearately,NDB,42.45,2.12,1998
9/12/1994,T3,R2,Glycine max L. (*),SEED,56.55,7.45,1994
10/22/1990,T6,R1,Medicago sativa L.,CROP,47.9,3.8,1990
9/16/1994,T5,,Trunks of poplars - CN code,TRUNK,45.52,0.2,1994
9/14/1999,T4,R6,Zea mays L. (*),SEED,43.39,1.6,1999
8/15/2018,T6,R5,UnSorted,,39.006,3.566,2018
8/2/2012,T7,R6,Solidago canadensis L.,,45.221,0.981,2012
11/26/2013,T7,R3,Surface Litter,,41.842,1.267,2013
9/25/2012,T2,R2,UnSorted,,43.812,1.522,2012
7/19/2019,T3,R4,Triticum aestivum L. (*),SEED,42.34,1.549,2019
7/13/2010,T4,R5,aggregate of live biomass except for Triticum sp.,,46.864,1.69,2010
8/13/2009,TDF,R1,Leaf Litter,,46.344,0.895,2009
10/6/2006,T4,R5,Glycine max L. (*),STOVER,44.616,0.753,2006
10/17/2017,T2,R3,Zea mays L. (*),SEED,42.04,1.105,2017
7/13/2006,T6,R6,aggregate of live biomass except for Medicago sativa L.,,40.868,2.667,2006
8/8/2002,T8,R2,Solidago canadensis L.,,47.171,1.088,2002
6/27/2012,T5,R1,UnSorted,,41.124,2.828,2012
9/5/1996,T5,,Trunks of poplars - CN code,TRUNK,46.56,0.13,1996
9/2/1998,T5,R5,Trunks of poplars - CN code,TRUNK,47.95,0.26,1998
8/23/1991,T5,R4,Leaf Litter,LEAFLITTER,42.07,1.6,1991
8/20/1999,T21,R5,Digitaria sanguinalis (L.) Scop.,NDB,42.39,2.08,1999
8/26/2003,T6,R4,Medicago sativa L.,,42.272,2.542,2003
9/10/2012,T6,R2,Medicago sativa L.,,44.94,3.643,2012
9/12/1989,T5,R1,Trunks of poplars - CN code,TRUNK,46.33,0.78,1989
