# Soil Total Carbon and Nitrogen - Surface,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
# Original Data Source: http://lter.kbs.msu.edu/datatables/68,,,,,,,,,,,,,,,
# The newest version of the data http://lter.kbs.msu.edu/datatables/68.csv,,,,,,,,,,,,,,,
# Full EML Metadata: http://lter.kbs.msu.edu/datatables/27.eml,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,
# These Data are copyrighted and use in a publication requires permission,,,,,,,,,,,,,,,
# as detailed in our Terms of use:  http://lter.kbs.msu.edu/data/terms-of-use/,,,,,,,,,,,,,,,
# Use of the data constitutes acceptance of the terms.,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
#     VARIATE TABLE,,,,,,,,,,,,,,,
"# sample_date		date of sampling",,,,,,,,,,,,,,,
"# treatment		treatment",,,,,,,,,,,,,,,
"# replicate		replicate block",,,,,,,,,,,,,,,
"# n	number	number of analytical sample replicates",,,,,,,,,,,,,,,
"# mean_c	gramsPerHectograms	mean percent carbon",,,,,,,,,,,,,,,
"# sd_c	gramsPerHectograms	standard deviation percent carbon",,,,,,,,,,,,,,,
"# mean_n	gramsPerHectograms	mean percent nitrogen",,,,,,,,,,,,,,,
"# mean_cn	gramsPerHectograms	standard deviation percent nitrogen",,,,,,,,,,,,,,,
"# sd_n	dimensionless	undescribed",,,,,,,,,,,,,,,
"# sd_cn	gramsPerGram	ratio:  mean C divided by mean N",,,,,,,,,,,,,,,
"# year		year in which the date occurs",,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
#        DATA TABLE CORRECTIONS AND COMMENTS,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,
#,,,number,gramsPerHectograms,gramsPerHectograms,gramsPerHectograms,gramsPerHectograms,dimensionless,gramsPerGram,,,,,,
sample_date,treatment,replicate,n,mean_c,sd_c,mean_n,mean_cn,sd_n,sd_cn,year,,,,,
