obs_date,treatment,observation_type,comment,name,material,rate,units,equipment,observation_id
4/30/1990,T3,Fertilizer application,"Broadcasted ammonium nitrate at 25 lbs N/a (28 kg N/ha) [T3, R1-6]",T3R3,ammonium nitrate (34-0-0),74,pound,unknown,529
4/30/1990,T3,Fertilizer application,"Broadcasted ammonium nitrate at 25 lbs N/a (28 kg N/ha) [T3, R1-6]",T3R4,ammonium nitrate (34-0-0),74,pound,unknown,529
4/30/1990,T3,Fertilizer application,"Broadcasted ammonium nitrate at 25 lbs N/a (28 kg N/ha) [T3, R1-6]",T3R5,ammonium nitrate (34-0-0),74,pound,unknown,529
4/30/1990,T3,Fertilizer application,"Broadcasted ammonium nitrate at 25 lbs N/a (28 kg N/ha) [T3, R1-6]",T3R6,ammonium nitrate (34-0-0),74,pound,unknown,529
4/30/1990,T3,Fertilizer application,"Broadcasted ammonium nitrate at 25 lbs N/a (28 kg N/ha) [T3, R1-6]",T3R1,ammonium nitrate (34-0-0),74,pound,unknown,529
4/30/1990,T3,Fertilizer application,"Broadcasted ammonium nitrate at 25 lbs N/a (28 kg N/ha) [T3, R1-6]",T3R2,ammonium nitrate (34-0-0),74,pound,unknown,529
4/27/1993,T3,Fertilizer application,"Broadcasted K2O (0-0-60) 150 lbs K/a (168 kg K/ha); rep 6 only [T1, T2, T3]",T3R6,0-0-60 potash fertilizer,150,pound,broadcast sprayer,476
4/27/1993,T3,Fertilizer application,"Broadcasted K2O (0-0-60) at 80 lbs K/a (90 kg K/ha); reps 1-5 only [T1, T2, T3]",T3R5,0-0-60 potash fertilizer,80,pound,broadcast sprayer,477
4/27/1993,T3,Fertilizer application,"Broadcasted K2O (0-0-60) at 80 lbs K/a (90 kg K/ha); reps 1-5 only [T1, T2, T3]",T3R3,0-0-60 potash fertilizer,80,pound,broadcast sprayer,477
4/27/1993,T3,Fertilizer application,"Broadcasted K2O (0-0-60) at 80 lbs K/a (90 kg K/ha); reps 1-5 only [T1, T2, T3]",T3R4,0-0-60 potash fertilizer,80,pound,broadcast sprayer,477
4/27/1993,T3,Fertilizer application,"Broadcasted K2O (0-0-60) at 80 lbs K/a (90 kg K/ha); reps 1-5 only [T1, T2, T3]",T3R2,0-0-60 potash fertilizer,80,pound,broadcast sprayer,477
4/27/1993,T3,Fertilizer application,"Broadcasted K2O (0-0-60) at 80 lbs K/a (90 kg K/ha); reps 1-5 only [T1, T2, T3]",T3R1,0-0-60 potash fertilizer,80,pound,broadcast sprayer,477
5/14/1993,T3,Fertilizer application,"starter N applied along side of row using 25 lbs N/a (28 kg N/ha) of 28% N [T3] {{PL: <Action>Low input, Zero input;
Planted treatments 3 and 4 on main site.  FL 450 was planted at 26,000 plants/a with the Buffalo planter using ridges.  Ridges were shaved off quite a bit in hopes of covering up some of the grass present.  Liquid starter (28-0-0) was applied to treatment 3 for all reps at a rate of 25 lbs. /a.  A total of 110 gallons of 28-0-0 was applied to all 6 replications.  Density of 28-0-0 is 9.91 lbs/gal. }}
",T3R5,28% UAN (28-0-0),18,gallon,unknown,485
5/14/1993,T3,Fertilizer application,"starter N applied along side of row using 25 lbs N/a (28 kg N/ha) of 28% N [T3] {{PL: <Action>Low input, Zero input;
Planted treatments 3 and 4 on main site.  FL 450 was planted at 26,000 plants/a with the Buffalo planter using ridges.  Ridges were shaved off quite a bit in hopes of covering up some of the grass present.  Liquid starter (28-0-0) was applied to treatment 3 for all reps at a rate of 25 lbs. /a.  A total of 110 gallons of 28-0-0 was applied to all 6 replications.  Density of 28-0-0 is 9.91 lbs/gal. }}
",T3R4,28% UAN (28-0-0),18,gallon,unknown,485
5/14/1993,T3,Fertilizer application,"starter N applied along side of row using 25 lbs N/a (28 kg N/ha) of 28% N [T3] {{PL: <Action>Low input, Zero input;
Planted treatments 3 and 4 on main site.  FL 450 was planted at 26,000 plants/a with the Buffalo planter using ridges.  Ridges were shaved off quite a bit in hopes of covering up some of the grass present.  Liquid starter (28-0-0) was applied to treatment 3 for all reps at a rate of 25 lbs. /a.  A total of 110 gallons of 28-0-0 was applied to all 6 replications.  Density of 28-0-0 is 9.91 lbs/gal. }}
",T3R6,28% UAN (28-0-0),18,gallon,unknown,485
5/14/1993,T3,Fertilizer application,"starter N applied along side of row using 25 lbs N/a (28 kg N/ha) of 28% N [T3] {{PL: <Action>Low input, Zero input;
Planted treatments 3 and 4 on main site.  FL 450 was planted at 26,000 plants/a with the Buffalo planter using ridges.  Ridges were shaved off quite a bit in hopes of covering up some of the grass present.  Liquid starter (28-0-0) was applied to treatment 3 for all reps at a rate of 25 lbs. /a.  A total of 110 gallons of 28-0-0 was applied to all 6 replications.  Density of 28-0-0 is 9.91 lbs/gal. }}
",T3R2,28% UAN (28-0-0),18,gallon,unknown,485
5/14/1993,T3,Fertilizer application,"starter N applied along side of row using 25 lbs N/a (28 kg N/ha) of 28% N [T3] {{PL: <Action>Low input, Zero input;
Planted treatments 3 and 4 on main site.  FL 450 was planted at 26,000 plants/a with the Buffalo planter using ridges.  Ridges were shaved off quite a bit in hopes of covering up some of the grass present.  Liquid starter (28-0-0) was applied to treatment 3 for all reps at a rate of 25 lbs. /a.  A total of 110 gallons of 28-0-0 was applied to all 6 replications.  Density of 28-0-0 is 9.91 lbs/gal. }}
",T3R1,28% UAN (28-0-0),18,gallon,unknown,485
