# Fertilizer Application Report for the MCSE,,,,,,,,,,
#,,,,,,,,,,
# Original Data Source: https://lter.kbs.msu.edu/datatables/159,,,,,,,,,,
# The newest version of the data https://lter.kbs.msu.edu/datatables/159.csv,,,,,,,,,,
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/7.eml,,,,,,,,,,
#,,,,,,,,,,
# These Data are copyrighted and use in a publication requires written permission,,,,,,,,,,
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/,,,,,,,,,,
# Use of the data constitutes acceptance of the terms.,,,,,,,,,,
#,,,,,,,,,,
#     VARIATE TABLE,,,,,,,,,,
"# obs_date		Date of the observation",,,,,,,,,,
"# treatment		LTER Main Site Treatment",,,,,,,,,,
"# replicate		LTER replicate that the observation is taken from",,,,,,,,,,
"# plot		LTER plot",,,,,,,,,,
"# material		The fertiizer material used",,,,,,,,,,
"# rate_kg_ha	kilogramsPerHectare	The rate of fertilizer application in kg per ha",,,,,,,,,,
"# n_rate_kg_ha	kilogramsPerHectare	The N fertilization  rate in kg per ha rounded to the nearest kg",,,,,,,,,,
"# p_rate_kg_ha	kilogramsPerHectare	The P fertilization rate in kg per ha rounded to the nearest kg",,,,,,,,,,
"# k_rate_kg_ha	kilogramsPerHectare	The K fertilization rate in kg per ha rounded to the nearest kg",,,,,,,,,,
"# comment		The full aglog entry",,,,,,,,,,
"# source		The URL of the aglog entry",,,,,,,,,,
#,,,,,,,,,,
#,,,,,,,,,,
#        DATA TABLE CORRECTIONS AND COMMENTS,,,,,,,,,,
#!!! Use with caution. If the aglog entries are not filled out completely data will be missing here.!!!,,,,,,,,,,
#,,,,,,,,,,
#2020-05-06 Sven Bohm. Added source URL,,,,,,,,,,
#,,,,,kilogramsPerHectare,kilogramsPerHectare,kilogramsPerHectare,kilogramsPerHectare,,
obs_date,treatment,replicate,plot,material,rate_kg_ha,n_rate_kg_ha,p_rate_kg_ha,k_rate_kg_ha,comment,source
5/12/2022,T1,R6,T1R6,0-0-60,79,0,0,47,"Fertilized LTER Main Site treatment T1 and T2 all reps (1, 2, 3, 4, 5, 6) with potash (0-0-60) at 70 lb/A.
T1R5, T2R5, T1R6, and T2R2 were fertilized on the afternoon of 05/11/22.

Weather at noon on 05/12, 

Temperature: 81.6° F; 

RH 29.8%; 

Wind Speed: (3m) 7.41 MPH; 

Wind Direction: South.
",http://aglog.kbs.msu.edu/observations/5385
5/12/2022,T1,R1,T1R1,0-0-60,79,0,0,47,"Fertilized LTER Main Site treatment T1 and T2 all reps (1, 2, 3, 4, 5, 6) with potash (0-0-60) at 70 lb/A.
T1R5, T2R5, T1R6, and T2R2 were fertilized on the afternoon of 05/11/22.

Weather at noon on 05/12, 

Temperature: 81.6° F; 

RH 29.8%; 

Wind Speed: (3m) 7.41 MPH; 

Wind Direction: South.
",http://aglog.kbs.msu.edu/observations/5385
5/12/2022,T1,R2,T1R2,0-0-60,79,0,0,47,"Fertilized LTER Main Site treatment T1 and T2 all reps (1, 2, 3, 4, 5, 6) with potash (0-0-60) at 70 lb/A.
T1R5, T2R5, T1R6, and T2R2 were fertilized on the afternoon of 05/11/22.

Weather at noon on 05/12, 

Temperature: 81.6° F; 

RH 29.8%; 

Wind Speed: (3m) 7.41 MPH; 

Wind Direction: South.
",http://aglog.kbs.msu.edu/observations/5385
5/12/2022,T1,R3,T1R3,0-0-60,79,0,0,47,"Fertilized LTER Main Site treatment T1 and T2 all reps (1, 2, 3, 4, 5, 6) with potash (0-0-60) at 70 lb/A.
T1R5, T2R5, T1R6, and T2R2 were fertilized on the afternoon of 05/11/22.

Weather at noon on 05/12, 

Temperature: 81.6° F; 

RH 29.8%; 

Wind Speed: (3m) 7.41 MPH; 

Wind Direction: South.
",http://aglog.kbs.msu.edu/observations/5385
5/12/2022,T1,R4,T1R4,0-0-60,79,0,0,47,"Fertilized LTER Main Site treatment T1 and T2 all reps (1, 2, 3, 4, 5, 6) with potash (0-0-60) at 70 lb/A.
T1R5, T2R5, T1R6, and T2R2 were fertilized on the afternoon of 05/11/22.

Weather at noon on 05/12, 

Temperature: 81.6° F; 

RH 29.8%; 

Wind Speed: (3m) 7.41 MPH; 

Wind Direction: South.
",http://aglog.kbs.msu.edu/observations/5385
5/12/2022,T1,R5,T1R5,0-0-60,79,0,0,47,"Fertilized LTER Main Site treatment T1 and T2 all reps (1, 2, 3, 4, 5, 6) with potash (0-0-60) at 70 lb/A.
T1R5, T2R5, T1R6, and T2R2 were fertilized on the afternoon of 05/11/22.

Weather at noon on 05/12, 

Temperature: 81.6° F; 

RH 29.8%; 

Wind Speed: (3m) 7.41 MPH; 

Wind Direction: South.
",http://aglog.kbs.msu.edu/observations/5385
5/10/2022,T1,R6,T1R6,0-46-0 phosphate fertilizer,191,17,44,0,"Fertilized LTER Main Site winter wheat T1 Reps 5,1,4,3,6  with super phosphate (0-46-0), at 170 lbs/A. Super phosphate was applied at 170 lbs/A providing 78.2 lbs/A of P2O5.

Raven controller metercal set to 201

Temperature 67.8° RH 57.9%  wind speed (3m) 10.37 mph at 10:00 am",http://aglog.kbs.msu.edu/observations/5377
5/10/2022,T1,R5,T1R5,0-46-0 phosphate fertilizer,191,17,44,0,"Fertilized LTER Main Site winter wheat T1 Reps 5,1,4,3,6  with super phosphate (0-46-0), at 170 lbs/A. Super phosphate was applied at 170 lbs/A providing 78.2 lbs/A of P2O5.

Raven controller metercal set to 201

Temperature 67.8° RH 57.9%  wind speed (3m) 10.37 mph at 10:00 am",http://aglog.kbs.msu.edu/observations/5377
5/10/2022,T1,R4,T1R4,0-46-0 phosphate fertilizer,191,17,44,0,"Fertilized LTER Main Site winter wheat T1 Reps 5,1,4,3,6  with super phosphate (0-46-0), at 170 lbs/A. Super phosphate was applied at 170 lbs/A providing 78.2 lbs/A of P2O5.

Raven controller metercal set to 201

Temperature 67.8° RH 57.9%  wind speed (3m) 10.37 mph at 10:00 am",http://aglog.kbs.msu.edu/observations/5377
5/10/2022,T1,R3,T1R3,0-46-0 phosphate fertilizer,191,17,44,0,"Fertilized LTER Main Site winter wheat T1 Reps 5,1,4,3,6  with super phosphate (0-46-0), at 170 lbs/A. Super phosphate was applied at 170 lbs/A providing 78.2 lbs/A of P2O5.

Raven controller metercal set to 201

Temperature 67.8° RH 57.9%  wind speed (3m) 10.37 mph at 10:00 am",http://aglog.kbs.msu.edu/observations/5377
5/10/2022,T1,R1,T1R1,0-46-0 phosphate fertilizer,191,17,44,0,"Fertilized LTER Main Site winter wheat T1 Reps 5,1,4,3,6  with super phosphate (0-46-0), at 170 lbs/A. Super phosphate was applied at 170 lbs/A providing 78.2 lbs/A of P2O5.

Raven controller metercal set to 201

Temperature 67.8° RH 57.9%  wind speed (3m) 10.37 mph at 10:00 am",http://aglog.kbs.msu.edu/observations/5377
5/5/2022,T1,R1,T1R1,11-0-0-26,84,9,8,8,"Fertilized LTER Main Site winter wheat treatment T2 all replications (5,3,4,1,6 and 2) and T1 all replications (5, 1, 4, 1, 3, and 6).  T8nt 1 2 3 4 

Plots were fertilized with 27 gallons per acre nitrogen and sulfur fertilizer blend. 

28-0-0 N at 17.92 gallon per acre; 

11-0-0-24 at 9.47 gallon per acre; 

This tank mix application applied approximately 65 pounds of nitrogen per acre and 25 pounds of sulfur per acre. 

Application was started at 1:30 p.m. and completed by 5:30 p.m.  

Weather conditions 1:30 p.m. were cloudy 57 degrees F, 63.6% humidity 5 mph East wind. 

Application was completed using the John Deere 5220 Tractor and the Top Air 30ft sprayer. 

The sprayer was fitted with Chafer stream bars set to 1.0 orifice setting traveling an average of 6 mph.

Applications in Reps containing REX shelter sites was completed using one 15 ft pass on the south side of the REX plots and 1 to 30ft passes traveling east and west on the north side of the REX plots.

This avoided driving in the REX shelter locations while applying the fertilizer to the plots. ",http://aglog.kbs.msu.edu/observations/5363
5/5/2022,T1,R6,T1R6,11-0-0-26,84,9,8,8,"Fertilized LTER Main Site winter wheat treatment T2 all replications (5,3,4,1,6 and 2) and T1 all replications (5, 1, 4, 1, 3, and 6).  T8nt 1 2 3 4 

Plots were fertilized with 27 gallons per acre nitrogen and sulfur fertilizer blend. 

28-0-0 N at 17.92 gallon per acre; 

11-0-0-24 at 9.47 gallon per acre; 

This tank mix application applied approximately 65 pounds of nitrogen per acre and 25 pounds of sulfur per acre. 

Application was started at 1:30 p.m. and completed by 5:30 p.m.  

Weather conditions 1:30 p.m. were cloudy 57 degrees F, 63.6% humidity 5 mph East wind. 

Application was completed using the John Deere 5220 Tractor and the Top Air 30ft sprayer. 

The sprayer was fitted with Chafer stream bars set to 1.0 orifice setting traveling an average of 6 mph.

Applications in Reps containing REX shelter sites was completed using one 15 ft pass on the south side of the REX plots and 1 to 30ft passes traveling east and west on the north side of the REX plots.

This avoided driving in the REX shelter locations while applying the fertilizer to the plots. ",http://aglog.kbs.msu.edu/observations/5363
5/5/2022,T1,R5,T1R5,11-0-0-26,84,9,8,8,"Fertilized LTER Main Site winter wheat treatment T2 all replications (5,3,4,1,6 and 2) and T1 all replications (5, 1, 4, 1, 3, and 6).  T8nt 1 2 3 4 

Plots were fertilized with 27 gallons per acre nitrogen and sulfur fertilizer blend. 

28-0-0 N at 17.92 gallon per acre; 

11-0-0-24 at 9.47 gallon per acre; 

This tank mix application applied approximately 65 pounds of nitrogen per acre and 25 pounds of sulfur per acre. 

Application was started at 1:30 p.m. and completed by 5:30 p.m.  

Weather conditions 1:30 p.m. were cloudy 57 degrees F, 63.6% humidity 5 mph East wind. 

Application was completed using the John Deere 5220 Tractor and the Top Air 30ft sprayer. 

The sprayer was fitted with Chafer stream bars set to 1.0 orifice setting traveling an average of 6 mph.

Applications in Reps containing REX shelter sites was completed using one 15 ft pass on the south side of the REX plots and 1 to 30ft passes traveling east and west on the north side of the REX plots.

This avoided driving in the REX shelter locations while applying the fertilizer to the plots. ",http://aglog.kbs.msu.edu/observations/5363
5/5/2022,T1,R4,T1R4,11-0-0-26,84,9,8,8,"Fertilized LTER Main Site winter wheat treatment T2 all replications (5,3,4,1,6 and 2) and T1 all replications (5, 1, 4, 1, 3, and 6).  T8nt 1 2 3 4 

Plots were fertilized with 27 gallons per acre nitrogen and sulfur fertilizer blend. 

28-0-0 N at 17.92 gallon per acre; 

11-0-0-24 at 9.47 gallon per acre; 

This tank mix application applied approximately 65 pounds of nitrogen per acre and 25 pounds of sulfur per acre. 

Application was started at 1:30 p.m. and completed by 5:30 p.m.  

Weather conditions 1:30 p.m. were cloudy 57 degrees F, 63.6% humidity 5 mph East wind. 

Application was completed using the John Deere 5220 Tractor and the Top Air 30ft sprayer. 

The sprayer was fitted with Chafer stream bars set to 1.0 orifice setting traveling an average of 6 mph.

Applications in Reps containing REX shelter sites was completed using one 15 ft pass on the south side of the REX plots and 1 to 30ft passes traveling east and west on the north side of the REX plots.

This avoided driving in the REX shelter locations while applying the fertilizer to the plots. ",http://aglog.kbs.msu.edu/observations/5363
