# Activity report,,,,
#,,,,
# Original Data Source: https://lter.kbs.msu.edu/datatables/162,,,,
# The newest version of the data https://lter.kbs.msu.edu/datatables/162.csv,,,,
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/7.eml,,,,
#,,,,
# These Data are copyrighted and use in a publication requires written permission,,,,
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/,,,,
# Use of the data constitutes acceptance of the terms.,,,,
#,,,,
#     VARIATE TABLE,,,,
"# Obs_date		observation date",,,,
"# Treatment		experimental treatment",,,,
"# Plot		plot where the activity occured",,,,
"# Observation_type		type of activity.",,,,
"# Equipment		equipment used during the activity.",,,,
#,,,,
#,,,,
#        DATA TABLE CORRECTIONS AND COMMENTS,,,,
#,,,,
#,,,,
Obs_date,Treatment,Plot,Observation_type,Equipment
7/6/2022,T5,T5R1,Weed control,John Deere 6' Brushhog Mower
7/6/2022,T5,T5R1,Mowing,John Deere 6' Brushhog Mower
6/9/2022,T1,T1R1,Pesticide application,Top Air Sprayer
6/9/2022,T2,T2R1,Pesticide application,Top Air Sprayer
6/2/2022,T1,T1R1,Pesticide application,Top Air Sprayer
6/2/2022,T3,T3R1,Pesticide application,Top Air Sprayer
6/1/2022,T2,T2R1,Pesticide application,Top Air Sprayer
5/18/2022,T6,T6R1,Fertilizer application,Top Air Sprayer
5/17/2022,T3,T3R1,Fertilizer application,Gandy Orbit-Air (30' boom)
5/13/2022,T3,T3R1,Fertilizer application,Top Air Sprayer
5/12/2022,T1,T1R1,Fertilizer application,Gandy Orbit-Air (30' boom)
5/12/2022,T2,T2R1,Fertilizer application,Gandy Orbit-Air (30' boom)
5/12/2022,T8,T8ntR1,Fertilizer application,Gandy Orbit-Air (30' boom)
5/10/2022,T1,T1R1,Fertilizer application,Gandy Orbit-Air (30' boom)
5/10/2022,T3,T3R1,Fertilizer application,Gandy Orbit-Air (30' boom)
5/10/2022,T8,T8ntR1,Fertilizer application,Gandy Orbit-Air (30' boom)
5/9/2022,T2,T2R1,Fertilizer application,Gandy Orbit-Air (30' boom)
5/5/2022,T1,T1R1,Fertilizer application,Top Air Sprayer
5/5/2022,T2,T2R1,Fertilizer application,Top Air Sprayer
5/5/2022,T8,T8ntR1,Fertilizer application,Top Air Sprayer
4/29/2022,T3,T3R1,Pesticide application,Top Air Sprayer
4/29/2022,T3,T3R1,Herbicide application,Top Air Sprayer
4/29/2022,T3,T3R1,Weed control,Top Air Sprayer
4/28/2022,T1,T1R1,Weed control,Top Air Sprayer
4/28/2022,T1,T1R1,Pesticide application,Top Air Sprayer
4/28/2022,T1,T1R1,Herbicide application,Top Air Sprayer
4/28/2022,T8,T8ntR1,Weed control,Top Air Sprayer
4/28/2022,T8,T8ntR1,Pesticide application,Top Air Sprayer
4/28/2022,T8,T8ntR1,Herbicide application,Top Air Sprayer
4/21/2022,T2,T2R1,Pesticide application,Top Air Sprayer
4/21/2022,T2,T2R1,Herbicide application,Top Air Sprayer
4/21/2022,T2,T2R1,Weed control,Top Air Sprayer
3/28/2022,T8,T8R1,Fertilizer application,Top Air Sprayer
3/22/2022,T1,T1R1,Fertilizer application,Top Air Sprayer
3/21/2022,T3,T3R1,Fertilizer application,Top Air Sprayer
3/17/2022,T2,T2R1,Fertilizer application,Top Air Sprayer
3/4/2022,T4,T4R1,Planting,Gandy Orbit-Air (15' boom)
11/9/2021,T1,T1R1,Planting,John Deere 1590 15' no-till drill
11/9/2021,T8,T8ntR1,Planting,10' Tye ‘Series 5’ grain drill 
11/9/2021,T8,T8R1,Mowing,John Deere 115 15' flail mower
11/9/2021,T8,T8ntR1,Mowing,John Deere 115 15' flail mower
11/9/2021,T8,T8ntR1,Planting,10' Tye ‘Series 5’ grain drill 
11/8/2021,T4,T4R1,Planting,John Deere 1590 15' no-till drill
11/8/2021,T4,T4R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
11/7/2021,T1,T1R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
11/7/2021,T3,T3R1,Planting,John Deere 1590 15' no-till drill
11/6/2021,T3,T3R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
11/6/2021,T4,T4R1,Soil Preparation,"John Deere 726 15'9"" soil finisher"
10/20/2021,T4,T4R1,Harvest,Truck #892 (Blue/Red)
10/20/2021,T4,T4R1,Harvest,truck - for hauling
10/20/2021,T4,T4R1,Harvest,Truck # 1653 (White Dodge RAM 5500 with Flat Bed)
10/20/2021,T4,T4R1,Harvest,John Deere S660 Combine
10/20/2021,T4,T4R1,Harvest,Wagon
10/20/2021,T4,T4R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
10/19/2021,T3,T3R1,Harvest,Truck #1270 (White/Green)
10/19/2021,T3,T3R1,Harvest,Truck #892 (Blue/Red)
10/19/2021,T3,T3R1,Harvest,"Weigh Wagon, Brent by Unverferth Manufacturing Co."
10/19/2021,T3,T3R1,Harvest,Truck # 1653 (White Dodge RAM 5500 with Flat Bed)
