# Planting report for the MCSE
#
# Original Data Source: https://lter.kbs.msu.edu/datatables/292
# The newest version of the data https://lter.kbs.msu.edu/datatables/292.csv
# Full EML Metadata: https://lter.kbs.msu.edu/datasets/7.eml
#
# These Data are copyrighted and use in a publication requires written permission
# as detailed in our Terms of use:  https://lter.kbs.msu.edu/data/terms-of-use/
# Use of the data constitutes acceptance of the terms.
#
#     VARIATE TABLE
# obs_date		The observation date
# Treatment		experimental treatment
# Replicate		LTER Replicate
# Plot		LTER Plot
# Material		material used
# Rate	number	rate of application
# Unit		units per acre
# propagules_per_acre	numberPerAcre	the number of propagules (seeds or plants) planted per acre
# propagule_rate_estimation_flag		a flag to indicate if the number of propagules has been estimate and 'E' indicates and estimated values based on the source_for_estimation and a an empty values indicates a reported value.
# source_for_estimation		references for the conversion from the reported planting rates  to the propagules_per_acre column
# Comment		aa note about the sample
# source		the source URL for the observation
#
#
#        DATA TABLE CORRECTIONS AND COMMENTS
#2020-05-06 Sven Bohm. Added source URL
#2020-5-6 Sven Bohm. Added other replicates
#
obs_date,Treatment,Replicate,Plot,Material,Rate,Unit,propagules_per_acre,propagule_rate_estimation_flag,source_for_estimation,Comment,source
#,,,,,number,,numberPerAcre,,,,
2022-03-04,T4,R6,T4R6,Red Clover 'Medium Red Clover',12,pound,3300000,E,https://www.stockseed.com/Shop/legumes/medium-red-clover and Seeding rate should be 6 to 15 lbs/ac -- https://extension.psu.edu/management-of-red-clover-as-a-cover-crop," Seeded LTER Main Site Treatment T4 all replications  (5, 3, 2, 4) on 03/04/2022, and (1,6) on 03/05/2022 with Medium Red Clover at 12 lbs/A. 

(PLS of 51.75 makes the new target 23.19 lbs/A) Actual application was 23.66 lbs/A making the application rate 12.24 lbs/A.

A pure live seed calculation was done to calculate amount of seed per acre needed to achieve the 12 lbs/A of pure live seed.

 The calculation equaled 23 lbs/A seeding rate to achieve the 12 lbs/A of pure seed (see papers attached).

 Clover was seeded with John Deere 5220 tractor traveling at 5.0 mph, gear B3 at 2000 rpm’s, and Gandy Air Seeder (15 ft boom length) equipped with 8 deflectors spaced 22.5 inches. 

Gandy motor setting was 2 with the red metering wheels in and the gates on the Gandy were in the first position. 

Boom height was 23 inches from the ground, bottom of the defectors were 20 inches from the ground. 

Start of 1st application was 7:00 a.m. on 03/04/2022 weather was clear 18 degrees F 0 mph wind.

End of application 10:30 a.m. sunny 29 degrees F 0 mph wind. 

Start of 2nd application was 7:10 a.m. on 03/05/2022 weather was clear 34 degrees F 0 mph wind.

End of application 8:15 a.m. sunny 35 degrees F 0 mph wind. 

",https://aglog.kbs.msu.edu/observations/5312
2022-03-04,T4,R5,T4R5,Red Clover 'Medium Red Clover',12,pound,3300000,E,https://www.stockseed.com/Shop/legumes/medium-red-clover and Seeding rate should be 6 to 15 lbs/ac -- https://extension.psu.edu/management-of-red-clover-as-a-cover-crop," Seeded LTER Main Site Treatment T4 all replications  (5, 3, 2, 4) on 03/04/2022, and (1,6) on 03/05/2022 with Medium Red Clover at 12 lbs/A. 

(PLS of 51.75 makes the new target 23.19 lbs/A) Actual application was 23.66 lbs/A making the application rate 12.24 lbs/A.

A pure live seed calculation was done to calculate amount of seed per acre needed to achieve the 12 lbs/A of pure live seed.

 The calculation equaled 23 lbs/A seeding rate to achieve the 12 lbs/A of pure seed (see papers attached).

 Clover was seeded with John Deere 5220 tractor traveling at 5.0 mph, gear B3 at 2000 rpm’s, and Gandy Air Seeder (15 ft boom length) equipped with 8 deflectors spaced 22.5 inches. 

Gandy motor setting was 2 with the red metering wheels in and the gates on the Gandy were in the first position. 

Boom height was 23 inches from the ground, bottom of the defectors were 20 inches from the ground. 

Start of 1st application was 7:00 a.m. on 03/04/2022 weather was clear 18 degrees F 0 mph wind.

End of application 10:30 a.m. sunny 29 degrees F 0 mph wind. 

Start of 2nd application was 7:10 a.m. on 03/05/2022 weather was clear 34 degrees F 0 mph wind.

End of application 8:15 a.m. sunny 35 degrees F 0 mph wind. 

",https://aglog.kbs.msu.edu/observations/5312
2022-03-04,T4,R4,T4R4,Red Clover 'Medium Red Clover',12,pound,3300000,E,https://www.stockseed.com/Shop/legumes/medium-red-clover and Seeding rate should be 6 to 15 lbs/ac -- https://extension.psu.edu/management-of-red-clover-as-a-cover-crop," Seeded LTER Main Site Treatment T4 all replications  (5, 3, 2, 4) on 03/04/2022, and (1,6) on 03/05/2022 with Medium Red Clover at 12 lbs/A. 

(PLS of 51.75 makes the new target 23.19 lbs/A) Actual application was 23.66 lbs/A making the application rate 12.24 lbs/A.

A pure live seed calculation was done to calculate amount of seed per acre needed to achieve the 12 lbs/A of pure live seed.

 The calculation equaled 23 lbs/A seeding rate to achieve the 12 lbs/A of pure seed (see papers attached).

 Clover was seeded with John Deere 5220 tractor traveling at 5.0 mph, gear B3 at 2000 rpm’s, and Gandy Air Seeder (15 ft boom length) equipped with 8 deflectors spaced 22.5 inches. 

Gandy motor setting was 2 with the red metering wheels in and the gates on the Gandy were in the first position. 

Boom height was 23 inches from the ground, bottom of the defectors were 20 inches from the ground. 

Start of 1st application was 7:00 a.m. on 03/04/2022 weather was clear 18 degrees F 0 mph wind.

End of application 10:30 a.m. sunny 29 degrees F 0 mph wind. 

Start of 2nd application was 7:10 a.m. on 03/05/2022 weather was clear 34 degrees F 0 mph wind.

End of application 8:15 a.m. sunny 35 degrees F 0 mph wind. 

",https://aglog.kbs.msu.edu/observations/5312
2022-03-04,T4,R3,T4R3,Red Clover 'Medium Red Clover',12,pound,3300000,E,https://www.stockseed.com/Shop/legumes/medium-red-clover and Seeding rate should be 6 to 15 lbs/ac -- https://extension.psu.edu/management-of-red-clover-as-a-cover-crop," Seeded LTER Main Site Treatment T4 all replications  (5, 3, 2, 4) on 03/04/2022, and (1,6) on 03/05/2022 with Medium Red Clover at 12 lbs/A. 

(PLS of 51.75 makes the new target 23.19 lbs/A) Actual application was 23.66 lbs/A making the application rate 12.24 lbs/A.

A pure live seed calculation was done to calculate amount of seed per acre needed to achieve the 12 lbs/A of pure live seed.

 The calculation equaled 23 lbs/A seeding rate to achieve the 12 lbs/A of pure seed (see papers attached).

 Clover was seeded with John Deere 5220 tractor traveling at 5.0 mph, gear B3 at 2000 rpm’s, and Gandy Air Seeder (15 ft boom length) equipped with 8 deflectors spaced 22.5 inches. 

Gandy motor setting was 2 with the red metering wheels in and the gates on the Gandy were in the first position. 

Boom height was 23 inches from the ground, bottom of the defectors were 20 inches from the ground. 

Start of 1st application was 7:00 a.m. on 03/04/2022 weather was clear 18 degrees F 0 mph wind.

End of application 10:30 a.m. sunny 29 degrees F 0 mph wind. 

Start of 2nd application was 7:10 a.m. on 03/05/2022 weather was clear 34 degrees F 0 mph wind.

End of application 8:15 a.m. sunny 35 degrees F 0 mph wind. 

",https://aglog.kbs.msu.edu/observations/5312
2022-03-04,T4,R2,T4R2,Red Clover 'Medium Red Clover',12,pound,3300000,E,https://www.stockseed.com/Shop/legumes/medium-red-clover and Seeding rate should be 6 to 15 lbs/ac -- https://extension.psu.edu/management-of-red-clover-as-a-cover-crop," Seeded LTER Main Site Treatment T4 all replications  (5, 3, 2, 4) on 03/04/2022, and (1,6) on 03/05/2022 with Medium Red Clover at 12 lbs/A. 

(PLS of 51.75 makes the new target 23.19 lbs/A) Actual application was 23.66 lbs/A making the application rate 12.24 lbs/A.

A pure live seed calculation was done to calculate amount of seed per acre needed to achieve the 12 lbs/A of pure live seed.

 The calculation equaled 23 lbs/A seeding rate to achieve the 12 lbs/A of pure seed (see papers attached).

 Clover was seeded with John Deere 5220 tractor traveling at 5.0 mph, gear B3 at 2000 rpm’s, and Gandy Air Seeder (15 ft boom length) equipped with 8 deflectors spaced 22.5 inches. 

Gandy motor setting was 2 with the red metering wheels in and the gates on the Gandy were in the first position. 

Boom height was 23 inches from the ground, bottom of the defectors were 20 inches from the ground. 

Start of 1st application was 7:00 a.m. on 03/04/2022 weather was clear 18 degrees F 0 mph wind.

End of application 10:30 a.m. sunny 29 degrees F 0 mph wind. 

Start of 2nd application was 7:10 a.m. on 03/05/2022 weather was clear 34 degrees F 0 mph wind.

End of application 8:15 a.m. sunny 35 degrees F 0 mph wind. 

",https://aglog.kbs.msu.edu/observations/5312
2022-03-04,,,T4_micro-plots,Red Clover 'Medium Red Clover',12,pound,3300000,E,https://www.stockseed.com/Shop/legumes/medium-red-clover and Seeding rate should be 6 to 15 lbs/ac -- https://extension.psu.edu/management-of-red-clover-as-a-cover-crop," Seeded LTER Main Site Treatment T4 all replications  (5, 3, 2, 4) on 03/04/2022, and (1,6) on 03/05/2022 with Medium Red Clover at 12 lbs/A. 

(PLS of 51.75 makes the new target 23.19 lbs/A) Actual application was 23.66 lbs/A making the application rate 12.24 lbs/A.

A pure live seed calculation was done to calculate amount of seed per acre needed to achieve the 12 lbs/A of pure live seed.

 The calculation equaled 23 lbs/A seeding rate to achieve the 12 lbs/A of pure seed (see papers attached).

 Clover was seeded with John Deere 5220 tractor traveling at 5.0 mph, gear B3 at 2000 rpm’s, and Gandy Air Seeder (15 ft boom length) equipped with 8 deflectors spaced 22.5 inches. 

Gandy motor setting was 2 with the red metering wheels in and the gates on the Gandy were in the first position. 

Boom height was 23 inches from the ground, bottom of the defectors were 20 inches from the ground. 

Start of 1st application was 7:00 a.m. on 03/04/2022 weather was clear 18 degrees F 0 mph wind.

End of application 10:30 a.m. sunny 29 degrees F 0 mph wind. 

Start of 2nd application was 7:10 a.m. on 03/05/2022 weather was clear 34 degrees F 0 mph wind.

End of application 8:15 a.m. sunny 35 degrees F 0 mph wind. 

",https://aglog.kbs.msu.edu/observations/5312
2022-03-04,T4,R1,T4R1,Red Clover 'Medium Red Clover',12,pound,3300000,E,https://www.stockseed.com/Shop/legumes/medium-red-clover and Seeding rate should be 6 to 15 lbs/ac -- https://extension.psu.edu/management-of-red-clover-as-a-cover-crop," Seeded LTER Main Site Treatment T4 all replications  (5, 3, 2, 4) on 03/04/2022, and (1,6) on 03/05/2022 with Medium Red Clover at 12 lbs/A. 

(PLS of 51.75 makes the new target 23.19 lbs/A) Actual application was 23.66 lbs/A making the application rate 12.24 lbs/A.

A pure live seed calculation was done to calculate amount of seed per acre needed to achieve the 12 lbs/A of pure live seed.

 The calculation equaled 23 lbs/A seeding rate to achieve the 12 lbs/A of pure seed (see papers attached).

 Clover was seeded with John Deere 5220 tractor traveling at 5.0 mph, gear B3 at 2000 rpm’s, and Gandy Air Seeder (15 ft boom length) equipped with 8 deflectors spaced 22.5 inches. 

Gandy motor setting was 2 with the red metering wheels in and the gates on the Gandy were in the first position. 

Boom height was 23 inches from the ground, bottom of the defectors were 20 inches from the ground. 

Start of 1st application was 7:00 a.m. on 03/04/2022 weather was clear 18 degrees F 0 mph wind.

End of application 10:30 a.m. sunny 29 degrees F 0 mph wind. 

Start of 2nd application was 7:10 a.m. on 03/05/2022 weather was clear 34 degrees F 0 mph wind.

End of application 8:15 a.m. sunny 35 degrees F 0 mph wind. 

",https://aglog.kbs.msu.edu/observations/5312
2021-11-09,T1,R1,T1R1,Pioneer 25R40 soft red winter wheat (Treated),175,pound,2100000,E,brian baer: changed from 15000 https://www.canr.msu.edu/field_crops/uploads/archive/E2107.pdf,"Planted winter wheat in T1, Reps (4,2,3,1,5 and 6) Wheat variety: Pioneer 25R40 which is a soft red winter

 wheat, the seed was treated. Pioneer 25R40 (treated seed) had 11,000 seeds/lb (90% germ) planted at

 174.94 lbs/A. Planting depth:1”. Planted with JD 7420b tractor and JD 1590 no-till drill. 

Average planting speed was 4.5 mph. 

Seed drill was set to 43 using the second door notch, Seed rate was 2,099,280 seeds per acre.",https://aglog.kbs.msu.edu/observations/5289
2021-11-09,,,T1_micro-plot,Pioneer 25R40 soft red winter wheat (Treated),175,pound,2100000,E,brian baer: changed from 15000 https://www.canr.msu.edu/field_crops/uploads/archive/E2107.pdf,"Planted winter wheat in T1, Reps (4,2,3,1,5 and 6) Wheat variety: Pioneer 25R40 which is a soft red winter

 wheat, the seed was treated. Pioneer 25R40 (treated seed) had 11,000 seeds/lb (90% germ) planted at

 174.94 lbs/A. Planting depth:1”. Planted with JD 7420b tractor and JD 1590 no-till drill. 

Average planting speed was 4.5 mph. 

Seed drill was set to 43 using the second door notch, Seed rate was 2,099,280 seeds per acre.",https://aglog.kbs.msu.edu/observations/5289
