"year","treatment","observation_type","material","rate","units","equipment","date","crop"
1989,"T5","Soil Preparation",NA,NA,NA,"Moldboard plow",1989-04-17,NA
1989,"T5","Soil Preparation",NA,NA,NA,"disk",1989-04-19,NA
1989,"T6","Soil Preparation",NA,NA,NA,"Moldboard plow",1989-04-20,NA
1989,"T1","Soil Preparation",NA,NA,NA,"Moldboard plow",1989-04-21,"Maize"
1989,"T6","Soil Preparation",NA,NA,NA,"disk",1989-04-21,NA
1989,"T7","Soil Preparation",NA,NA,NA,"Moldboard plow",1989-04-21,NA
1989,"T5","Planting","poplar tree cuttings",NA,"unknown","unknown",1989-04-24,NA
1989,"T5","Planting",NA,NA,NA,NA,1989-04-25,NA
1989,"T7","Soil Preparation",NA,NA,NA,"plow --type unknown",1989-04-25,NA
1989,"T2","Soil Preparation",NA,NA,NA,"Moldboard plow",1989-04-26,"Maize"
1989,"T6","Planting","""big ten"" alfalfa",12,"pound","10' Tye ‘Series 5’ grain drill",1989-04-27,NA
1989,"T6","Soil Preparation",NA,NA,NA,"cultipacker",1989-04-27,NA
1989,"T6","Soil Preparation",NA,NA,NA,"row cultivator --type unknown",1989-04-27,NA
1989,"T6","Soil Preparation",NA,NA,NA,"cultivator...type unknown",1989-04-28,NA
1989,"T1","Soil Preparation",NA,NA,NA,"disk",1989-05-01,"Maize"
1989,"T1","Soil Preparation",NA,NA,NA,"row cultivator --type unknown",1989-05-01,"Maize"
1989,"T2","Planting","Great Lakes Hybrid 582 corn",24300,"plants","Buffalo planter",1989-05-03,"Maize"
1989,"T1","Planting","Great Lakes Hybrid 582 corn",24300,"plants","Buffalo planter",1989-05-04,"Maize"
1989,"T7","Soil Preparation",NA,NA,NA,"disk",1989-05-10,NA
1989,"T7","Soil Preparation",NA,NA,NA,"row cultivator --type unknown",1989-05-16,NA
1989,"T1","Fertilizer application","ammonium nitrate (34-0-0)",324,"pound","Gandy Orbit-Air (15' boom)",1989-06-26,"Maize"
1989,"T2","Fertilizer application","ammonium nitrate (34-0-0)",324,"pound","broadcast sprayer",1989-06-29,"Maize"
1989,"T5","Fertilizer application","ammonium nitrate (34-0-0)",324,"pound","broadcast sprayer",1989-06-29,NA
1989,"T6","Harvest",NA,NA,NA,"haybine",1989-07-07,NA
1989,"T3","Harvest","wheat",NA,"unknown","combine",1989-07-17,"Wheat"
1989,"T4","Harvest","wheat",NA,"unknown","combine",1989-07-17,"Wheat"
1989,"T3","Harvest","straw",NA,"unknown","baler",1989-07-24,"Wheat"
1989,"T4","Harvest","straw",NA,"unknown","baler",1989-07-24,"Wheat"
1989,"T3","Soil Preparation",NA,NA,NA,"disk",1989-08-07,"Wheat"
1989,"T3","Soil Preparation",NA,NA,NA,"ridger...for ridging?",1989-08-07,"Wheat"
1989,"T4","Soil Preparation",NA,NA,NA,"disk",1989-08-07,"Wheat"
1989,"T4","Soil Preparation",NA,NA,NA,"ridger...for ridging?",1989-08-07,"Wheat"
1989,"T3","Planting","hairy vetch",36.6,"pound","broadcast sprayer",1989-08-12,"Wheat"
1989,"T4","Planting","hairy vetch",36.6,"pound","broadcast sprayer",1989-08-12,"Wheat"
1989,"T6","Harvest",NA,NA,NA,"baler",1989-08-17,NA
1989,"T6","Harvest",NA,NA,NA,"rake",1989-08-17,NA
1989,"T6","Planting","""big ten"" alfalfa",12,"pound","unknown",1989-08-25,NA
1989,"T1","Harvest",NA,NA,NA,"combine",1989-10-23,"Maize"
1989,"T2","Harvest",NA,NA,NA,"combine",1989-10-23,"Maize"
1990,"T5","Planting","creeping red fescue",28.6,"pound","unknown",1990-03-20,NA
1990,"T3","Fertilizer application","ammonium nitrate (34-0-0)",74,"pound","unknown",1990-04-30,"Maize"
1990,"T3","Planting","Great Lakes Hybrid 582 corn",24000,"seeds","unknown",1990-04-30,"Maize"
1990,"T4","Planting","Great Lakes Hybrid 582 corn",24000,"seeds","unknown",1990-05-01,"Maize"
1990,"T3","Soil Preparation",NA,NA,NA,"Rotary Hoe",1990-05-07,"Maize"
1990,"T4","Soil Preparation",NA,NA,NA,"Rotary Hoe",1990-05-07,"Maize"
1990,"T1","Soil Preparation",NA,NA,NA,"cultipacker",1990-05-25,"Soybean"
1990,"T1","Soil Preparation",NA,NA,NA,"disk",1990-05-25,"Soybean"
1990,"T1","Soil Preparation",NA,NA,NA,"Moldboard plow",1990-05-25,"Soybean"
1990,"T1","Soil Preparation",NA,NA,NA,"row cultivator --type unknown",1990-05-25,"Soybean"
1990,"T2","Planting","Pioneer 9272 soybeans",190000,"seeds","unknown",1990-05-28,"Soybean"
1990,"T1","Planting","Pioneer 9272 soybeans",190000,"seeds","unknown",1990-05-29,"Soybean"
1990,"T6","Harvest",NA,NA,NA,"haybine",1990-05-30,NA
1990,"T6","Harvest","hay",NA,"unknown","chopper? for chopping...",1990-06-01,NA
1990,"T7","Soil Preparation",NA,NA,NA,NA,1990-06-06,NA
1990,"T6","Harvest",NA,NA,NA,"baler",1990-07-06,NA
1990,"T6","Harvest",NA,NA,NA,"rake",1990-07-06,NA
1990,"T3","Planting","hairy vetch",40,"pound","broadcast sprayer",1990-08-06,"Maize"
1990,"T4","Planting","hairy vetch",40,"pound","broadcast sprayer",1990-08-06,"Maize"
1990,"T6","Harvest",NA,NA,NA,NA,1990-08-27,NA
1990,"T2","Harvest","soybeans",NA,"unknown","combine",1990-10-16,"Soybean"
1990,"T1","Harvest","soybeans",NA,"unknown","combine",1990-10-17,"Soybean"
