"Month","Year","Calc_TAVG","PRCP","TM_OPE_down","TM_OPE","DA_OPE","Te_OPE"
1,1900,-2.44,44.8,0,0,19.3,35.1
2,1900,-6.61,76.2,0,0,20.8,39.7
3,1900,-3.07,50.2,0,0,42.7,65.4
4,1900,9.75,51.6,47.415,54.5,129.2,115.1
5,1900,16.05,101.9,101.79,117,201.7,170.6
6,1900,19.27,78.4,130.065,149.5,219.6,193.3
7,1900,22.24,198.3,157.818,181.4,213.7,223.8
8,1900,24.84,70.4,170.607,196.1,203.7,223.8
9,1900,19.09,8.4,106.053,121.9,160.7,137
10,1900,15.03,80.5,71.775,82.5,104.7,87.1
11,1900,3.13,125.5,8.004,9.2,32,42.9
12,1900,-1.98,9.6,0,0,16.4,31.4
1,1901,-4.04,33.4,0,0,17.9,33.7
2,1901,-8.18,68.8,0,0,14,38.1
3,1901,1.66,48.5,5.22,6,65,73.9
4,1901,8.57,11.6,42.978,49.4,121.9,111
5,1901,14.06,57.2,89.175,102.5,166.2,155.6
6,1901,22.29,54.9,158.775,182.5,210.8,236.9
7,1901,25.75,84.2,191.226,219.8,271.9,264.4
8,1901,19.9,33.8,130.326,149.8,178.2,175.2
9,1901,17.86,1.6,99.702,114.6,117.1,128.4
10,1901,10.92,73.1,50.112,57.6,95.1,75.9
11,1901,2.96,7.9,8.526,9.8,37.6,41.8
12,1901,-4.07,76.2,0,0,15.3,30.3
1,1902,-4.09,12.8,0,0,23.9,33.3
2,1902,-4.92,20.5,0,0,24.5,41.3
3,1902,3.76,56.9,15.312,17.6,72.2,77.3
4,1902,8.17,47.7,42.021,48.3,116.6,109.6
5,1902,17.55,87.3,118.755,136.5,244.2,178.1
6,1902,19.14,132.4,132.849,152.7,198.6,191.6
7,1902,22.6,158.4,163.56,188,210.7,225.2
8,1902,19.95,52.4,131.892,151.6,179.8,177.5
9,1902,15.27,129.8,83.52,96,108.1,116.2
10,1902,10.35,75.6,48.285,55.5,72.2,74.6
11,1902,6.78,92.8,24.795,28.5,34.1,46.9
12,1902,-3.07,103.1,0,0,13.1,30.9
1,1903,-5.45,72.5,0,0,15.1,33.1
2,1903,-4.77,60.1,0,0,20.5,41.2
3,1903,1.31,48.3,4.959,5.7,63.8,72
4,1903,7.81,123.6,42.021,48.3,108.6,107.4
5,1903,16,63.4,108.663,124.9,178.6,168.8
6,1903,17.84,45.7,124.236,142.8,194.1,183.5
7,1903,22.1,94.4,160.515,184.5,236.1,220.1
8,1903,20.1,85.4,134.763,154.9,176.4,178.2
9,1903,17.53,75.54,100.485,115.5,149.5,125.2
10,1903,10.31,18.77,50.112,57.6,85.6,74.7
11,1903,1.95,70.6,6.177,7.1,37.2,42.1
12,1903,-6.15,144.9,0,0,13.1,29.2
1,1904,-5.26,46.88,0,0,17.9,32.5
2,1904,-8.86,48.7,0,0,20.6,39.5
3,1904,0.59,112.6,1.914,2.2,58.7,72.3
4,1904,5.72,83.8,29.319,33.7,108.1,102.7
5,1904,14.96,67.6,100.485,115.5,205.8,161.9
6,1904,19.09,29.1,134.415,154.5,224.8,190.5
7,1904,22.08,69,160.341,184.3,218.6,220.3
8,1904,19.57,85.2,130.587,150.1,202.1,172.6
9,1904,17.15,78.2,97.962,112.6,133.6,124
10,1904,10.62,46.8,51.852,59.6,78.8,76
11,1904,4.08,12.7,14.616,16.8,42.9,43.1
12,1904,-3.39,71.1,0,0,13.9,30.3
1,1905,-7.54,58.2,0,0,12.6,31.2
2,1905,-9.26,55.9,0,0,13.9,38
3,1905,3.39,40.6,13.137,15.1,83.5,78.8
4,1905,7.77,69.3,38.802,44.6,119.8,107.8
5,1905,14.32,142.5,92.046,105.8,184.2,157.2
6,1905,20.11,111.6,140.418,161.4,214.3,200.2
7,1905,21.26,111.2,151.467,174.1,220.1,210.5
8,1905,21.94,59.7,147.465,169.5,202.6,192
9,1905,19,136.62,108.141,124.3,157.4,132
10,1905,12.07,84.94,57.42,66,93.6,80.1
11,1905,3.66,115.95,11.484,13.2,40,42.3
12,1905,-1.3,27.5,0,0,19.2,32
1,1906,-0.57,77,0,0,26.7,36.7
2,1906,-4.04,37.4,0,0,30.7,42.7
3,1906,-2.59,59.8,0,0,40.9,66
