year,all_ac_harv,all_ac_plnt,all_bales,all_yield_lbac,irr_ac_harv,irr_ac_plnt,irr_bales,irr_yield_lbac,noirr_ac_harv,noirr_ac_plnt,noirr_bales,noirr_yield_lbac,noirr_yield_lbac_harv,noirr_yield_lbac_plnt
1968,165000,177800,171100,498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,199800,215500,169200,406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,219200,221400,211800,464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,227500,234200,155900,329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,220900,241200,233300,507,176200,191800,194800,531,44700,49400,38500,414,413.4228187919463,374.08906882591094
1973,262100,262400,310000,568,208000,208000,266200,614,54100,54400,43800,389,388.61367837338264,386.47058823529414
1974,252500,278000,174800,332,210200,226000,161300,368,42300,52000,13500,153,153.19148936170214,124.61538461538461
1975,245800,251000,136700,267,198900,203000,114000,275,46900,48000,22700,232,232.32409381663112,227
1976,244600,268600,195300,383,190000,205000,165000,417,54600,63600,30300,266,266.3736263736264,228.67924528301887
1977,315000,315000,346000,527,214000,214000,249000,559,101000,101000,97000,461,460.990099009901,460.990099009901
1978,305000,314000,228000,359,210000,214000,185000,423,95000,100000,43000,217,217.26315789473685,206.4
1979,304500,348200,240800,380,198000,222000,154000,373,106500,126200,86800,391,391.2112676056338,330.14263074484944
1980,330100,351000,213200,310,228000,236000,183700,387,102100,115000,29500,139,138.6875612144956,123.1304347826087
1981,349400,352300,275400,378,216000,218000,183000,407,133400,134300,92400,332,332.4737631184408,330.2457185405808
1982,170400,299100,78800,222,103100,170700,48100,224,67300,128400,30700,219,218.9598811292719,114.76635514018692
1983,186900,193800,126000,324,115100,119100,84490,352,71800,74700,41510,278,277.5041782729805,266.7309236947791
1984,263300,263900,219520,400,171600,171700,153310,429,91700,92200,66210,347,346.5736095965104,344.6941431670282
1985,237000,241000,164000,332,137000,138000,112000,392,100000,103000,52000,250,249.6,242.33009708737865
1986,140000,253300,75000,257,94900,145300,58000,293,45100,108000,17000,181,180.93126385809313,75.55555555555556
1987,210500,229000,218500,498,121000,126400,133000,528,89500,102600,85500,459,458.54748603351953,400
1988,262600,266500,287400,525,151300,152000,193000,612,111300,114500,94400,407,407.11590296495956,395.73799126637556
1989,210000,230000,185000,423,136800,149900,141700,497,73200,80100,43300,284,283.9344262295082,259.4756554307116
1990,251600,264000,254700,486,158400,162100,184600,559,93200,101900,70100,361,361.0300429184549,330.20608439646713
