X,Y,profile_id,profile_layer_id,country_name,upper_depth,lower_depth,layer_name,litter,bdfiod_value,bdfiod_value_avg,bdfiod_method,bdfiod_date,bdfiod_dataset_id,bdfiod_profile_code,bdfiod_licence
-102.083335899999,34.3666649,175010,835436,United States of America,10,20,Ap2,0,"{1:1.72,2:1.72}",1.72,"{""1:calculation = not specified, corrections = not specified, measurement condition = oven dry (~ 105-110 °C), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""2:calculation = not specified, corrections = not specified, measurement condition = oven dry (~ 105-110 °C), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting""}","{1:1993-8-18,2:1993-8-18}",US-NCSS,94P0320,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-102.083335899999,34.3666649,175010,835440,United States of America,94,135,Bk1,0,"{1:1.42,2:1.42}",1.42,"{""1:calculation = not specified, corrections = not specified, measurement condition = oven dry (~ 105-110 °C), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""2:calculation = not specified, corrections = not specified, measurement condition = oven dry (~ 105-110 °C), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting""}","{1:1993-8-18,2:1993-8-18}",US-NCSS,94P0320,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-102.0736084,33.1208344,176395,845676,United States of America,0,24,Ap,0,"{1:1.63,2:1.63}",1.63,"{""1:calculation = not specified, corrections = not specified, measurement condition = oven dry (~ 105-110 °C), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""2:calculation = not specified, corrections = not specified, measurement condition = oven dry (~ 105-110 °C), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting""}","{1:1995-7-11,2:1995-7-11}",US-NCSS,95P0873,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-102.1191635,33.1263885,176397,845703,United States of America,28,40,A3,0,"{1:1.61,2:1.61}",1.61,"{""1:calculation = not specified, corrections = not specified, measurement condition = oven dry (~ 105-110 °C), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""2:calculation = not specified, corrections = not specified, measurement condition = oven dry (~ 105-110 °C), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting""}","{1:1995-7-12,2:1995-7-12}",US-NCSS,95P0875,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-102.1191635,33.1263885,176397,845704,United States of America,40,60,Bw1,0,"{1:1.61,2:1.61}",1.61,"{""1:calculation = not specified, corrections = not specified, measurement condition = oven dry (~ 105-110 °C), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""2:calculation = not specified, corrections = not specified, measurement condition = oven dry (~ 105-110 °C), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting""}","{1:1995-7-12,2:1995-7-12}",US-NCSS,95P0875,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-102.1372223,33.1258316,176398,845722,United States of America,35,52,Ap3,0,"{1:1.65,2:1.65}",1.65,"{""1:calculation = not specified, corrections = not specified, measurement condition = oven dry (~ 105-110 °C), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""2:calculation = not specified, corrections = not specified, measurement condition = oven dry (~ 105-110 °C), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting""}","{1:1995-7-12,2:1995-7-12}",US-NCSS,95P0876,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-102.1372223,33.1258316,176398,845723,United States of America,52,81,Bk1,0,"{1:1.43,2:1.43}",1.43,"{""1:calculation = not specified, corrections = not specified, measurement condition = oven dry (~ 105-110 °C), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""2:calculation = not specified, corrections = not specified, measurement condition = oven dry (~ 105-110 °C), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting""}","{1:1995-7-12,2:1995-7-12}",US-NCSS,95P0876,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-102.2052765,33.1244431,176399,845739,United States of America,0,13,A1,0,"{1:1.53,2:1.53}",1.53,"{""1:calculation = not specified, corrections = not specified, measurement condition = oven dry (~ 105-110 °C), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""2:calculation = not specified, corrections = not specified, measurement condition = oven dry (~ 105-110 °C), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting""}","{1:1995-7-13,2:1995-7-13}",US-NCSS,95P0877,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-102.2052765,33.1244431,176399,845740,United States of America,13,31,A2,0,"{1:1.71,2:1.71}",1.71,"{""1:calculation = not specified, corrections = not specified, measurement condition = oven dry (~ 105-110 °C), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""2:calculation = not specified, corrections = not specified, measurement condition = oven dry (~ 105-110 °C), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting""}","{1:1995-7-13,2:1995-7-13}",US-NCSS,95P0877,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-102.2804718,33.1216927,176400,845752,United States of America,10,34,A2,0,"{1:1.66,2:1.66}",1.66,"{""1:calculation = not specified, corrections = not specified, measurement condition = oven dry (~ 105-110 °C), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting"",""2:calculation = not specified, corrections = not specified, measurement condition = oven dry (~ 105-110 °C), sample type = clod reconstituted from < 2 mm sample formed by wetting and dessication cycles that stimulate reconsolidating by water in a field setting""}","{1:1995-7-14,2:1995-7-14}",US-NCSS,95P0878,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
