X,Y,profile_id,profile_layer_id,country_name,upper_depth,lower_depth,layer_name,litter,phaq_value,phaq_value_avg,phaq_method,phaq_date,phaq_dataset_id,phaq_profile_code,phaq_licence
-101.4414749,32.7018623,142239,639164,United States of America,0,12,A,0,"{1:8.10,2:8.10,3:7.40,4:7.40}",7.75,"{""1:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = 1:1, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]"",""2:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = 1:1, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]"",""3:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = saturated paste, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]"",""4:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = saturated paste, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]""}","{1:2005-9-14,2:2005-9-14,3:2005-9-14,4:2005-9-14}",US-NCSS,06N0177,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.4414749,32.7018623,142239,639165,United States of America,12,35,Bss1,0,"{1:7.70,2:7.70,3:8.70,4:8.70}",8.2,"{""1:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = saturated paste, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]"",""2:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = saturated paste, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]"",""3:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = 1:1, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]"",""4:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = 1:1, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]""}","{1:2005-9-14,2:2005-9-14,3:2005-9-14,4:2005-9-14}",US-NCSS,06N0177,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.4414749,32.7018623,142239,639166,United States of America,35,62,,0,"{1:7.90,2:7.90,3:7.50,4:7.50}",7.7,"{""1:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = 1:1, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]"",""2:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = 1:1, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]"",""3:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = saturated paste, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]"",""4:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = saturated paste, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]""}","{1:2005-9-14,2:2005-9-14,3:2005-9-14,4:2005-9-14}",US-NCSS,06N0177,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.4414749,32.7018623,142239,639167,United States of America,62,88,B/Cd,0,"{1:7.60,2:7.60,3:7.80,4:7.80}",7.7,"{""1:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = saturated paste, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]"",""2:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = saturated paste, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]"",""3:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = 1:1, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]"",""4:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = 1:1, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]""}","{1:2005-9-14,2:2005-9-14,3:2005-9-14,4:2005-9-14}",US-NCSS,06N0177,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.4414749,32.7018623,142239,639168,United States of America,88,119,Cd1,0,"{1:8.00,2:8.00,3:7.60,4:7.60}",7.8,"{""1:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = 1:1, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]"",""2:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = 1:1, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]"",""3:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = saturated paste, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]"",""4:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = saturated paste, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]""}","{1:2005-9-14,2:2005-9-14,3:2005-9-14,4:2005-9-14}",US-NCSS,06N0177,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.4414749,32.7018623,142239,639169,United States of America,119,200,Cd2,0,"{1:7.60,2:7.60,3:8.20,4:8.20}",7.9,"{""1:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = saturated paste, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]"",""2:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = saturated paste, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]"",""3:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = 1:1, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]"",""4:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = 1:1, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]""}","{1:2005-9-14,2:2005-9-14,3:2005-9-14,4:2005-9-14}",US-NCSS,06N0177,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.360166699999,34.5541944,149270,670362,United States of America,0,24,A,0,"{1:6.40,2:6.40}",6.4,"{""1:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = 1:1, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]"",""2:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = 1:1, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]""}","{1:2012-10-18,2:2012-10-18}",US-NCSS,13N2359,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.360166699999,34.5541944,149270,670363,United States of America,24,54,Bt1,0,"{1:6.90,2:6.90}",6.9,"{""1:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = 1:1, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]"",""2:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = 1:1, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]""}","{1:2012-10-18,2:2012-10-18}",US-NCSS,13N2359,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.360166699999,34.5541944,149270,670364,United States of America,54,79,Bt2,0,"{1:7.40,2:7.40}",7.4,"{""1:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = 1:1, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]"",""2:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = 1:1, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]""}","{1:2012-10-18,2:2012-10-18}",US-NCSS,13N2359,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.360166699999,34.5541944,149270,670365,United States of America,79,109,2Bt3,0,"{1:7.60,2:7.60}",7.6,"{""1:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = 1:1, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]"",""2:concentration = not specified, instrument = electrode, monitoring = not specified, ratio = 1:1, sample pretreatment = sieved over 2 mm sieve, solution = Water [H2O]""}","{1:2012-10-18,2:2012-10-18}",US-NCSS,13N2359,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
