X,Y,profile_id,profile_layer_id,country_name,upper_depth,lower_depth,layer_name,litter,orgc_value,orgc_value_avg,orgc_method,orgc_date,orgc_dataset_id,orgc_profile_code,orgc_licence
-101.6666641,33.3083344,149966,674508,United States of America,0,18,Ap,0,"{1:8.70,2:8.70}",8.7,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A0184,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.6666641,33.3083344,149966,674509,United States of America,18,41,Bt1,0,"{1:7.50,2:7.50}",7.5,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A0184,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.6666641,33.3083344,149966,674510,United States of America,41,66,Bt2,0,"{1:5.00,2:5.00}",5,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A0184,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.6666641,33.3083344,149966,674511,United States of America,66,100,Bt3,0,"{1:2.50,2:2.50}",2.5,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A0184,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.6666641,33.3083344,149966,674512,United States of America,100,150,Bk1,0,"{1:1.50,2:1.50}",1.5,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A0184,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.6666641,33.3083344,149966,674513,United States of America,150,180,Bk2,0,"{1:0.40,2:0.40}",0.4,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A0184,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.6666641,33.3083344,149966,674514,United States of America,180,215,Bk3,0,"{1:0.20,2:0.20}",0.2,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A0184,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.794441199999,33.1749992,153897,704505,United States of America,0,18,Ap,0,"{1:4.60,2:4.60}",4.6,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-6-30,2:1953-6-30}",US-NCSS,40A4468,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.794441199999,33.1749992,153897,704506,United States of America,18,51,B1,0,"{1:4.10,2:4.10}",4.1,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-6-30,2:1953-6-30}",US-NCSS,40A4468,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.794441199999,33.1749992,153897,704509,United States of America,137,190,Btk,0,"{1:1.70,2:1.70}",1.7,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-6-30,2:1953-6-30}",US-NCSS,40A4468,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.9875031,33.2097206,153902,704541,United States of America,0,30,A1,0,"{1:3.50,2:3.50}",3.5,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A4473,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.9875031,33.2097206,153902,704542,United States of America,30,38,A2,0,"{1:2.90,2:2.90}",2.9,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A4473,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.9875031,33.2097206,153902,704543,United States of America,38,61,Bt11,0,"{1:7.00,2:7.00}",7,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A4473,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.9875031,33.2097206,153902,704544,United States of America,61,84,Bt12,0,"{1:4.60,2:4.60}",4.6,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A4473,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.9875031,33.2097206,153902,704546,United States of America,107,130,Bt22,0,"{1:2.30,2:2.30}",2.3,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A4473,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.9875031,33.2097206,153902,704547,United States of America,130,170,B,0,"{1:6.70,2:6.70}",6.7,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A4473,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-102.0250015,33.2194443,153903,704549,United States of America,0,41,A1,0,"{1:2.90,2:2.90}",2.9,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A4474,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-102.0250015,33.2194443,153903,704553,United States of America,107,168,Bt3,0,"{1:1.70,2:1.70}",1.7,"{""1:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified"",""2:calculation = not specified, detection = not specified, reaction = not specified, sample pretreatment = sieved over 2 mm sieve, temperature = not specified, treatment = not specified""}","{1:1953-7-1,2:1953-7-1}",US-NCSS,40A4474,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
