X,Y,profile_id,profile_layer_id,country_name,upper_depth,lower_depth,layer_name,litter,totc_value,totc_value_avg,totc_method,totc_date,totc_dataset_id,totc_profile_code,totc_licence
-101.360166699999,34.5541944,149270,670362,United States of America,0,24,A,0,"{1:15.90,2:15.90}",15.9,"{""1:calculation = not specified, sample pretreatment = sieved over 2 mm sieve"",""2:calculation = not specified, sample pretreatment = sieved over 2 mm sieve""}","{1:2012-10-18,2:2012-10-18}",US-NCSS,13N2359,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.360166699999,34.5541944,149270,670363,United States of America,24,54,Bt1,0,"{1:9.80,2:9.80}",9.8,"{""1:calculation = not specified, sample pretreatment = sieved over 2 mm sieve"",""2:calculation = not specified, sample pretreatment = sieved over 2 mm sieve""}","{1:2012-10-18,2:2012-10-18}",US-NCSS,13N2359,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.360166699999,34.5541944,149270,670364,United States of America,54,79,Bt2,0,"{1:4.50,2:4.50}",4.5,"{""1:calculation = not specified, sample pretreatment = sieved over 2 mm sieve"",""2:calculation = not specified, sample pretreatment = sieved over 2 mm sieve""}","{1:2012-10-18,2:2012-10-18}",US-NCSS,13N2359,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.360166699999,34.5541944,149270,670365,United States of America,79,109,2Bt3,0,"{1:3.90,2:3.90}",3.9,"{""1:calculation = not specified, sample pretreatment = sieved over 2 mm sieve"",""2:calculation = not specified, sample pretreatment = sieved over 2 mm sieve""}","{1:2012-10-18,2:2012-10-18}",US-NCSS,13N2359,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.360166699999,34.5541944,149270,670366,United States of America,109,140,2Btk1,0,"{1:3.00,2:3.00}",3,"{""1:calculation = not specified, sample pretreatment = sieved over 2 mm sieve"",""2:calculation = not specified, sample pretreatment = sieved over 2 mm sieve""}","{1:2012-10-18,2:2012-10-18}",US-NCSS,13N2359,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.360166699999,34.5541944,149270,670367,United States of America,140,177,2Btk2,0,"{1:1.30,2:1.30}",1.3,"{""1:calculation = not specified, sample pretreatment = sieved over 2 mm sieve"",""2:calculation = not specified, sample pretreatment = sieved over 2 mm sieve""}","{1:2012-10-18,2:2012-10-18}",US-NCSS,13N2359,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.360166699999,34.5541944,149270,670368,United States of America,177,203,2Btk3,0,"{1:19.00,2:19.00}",19,"{""1:calculation = not specified, sample pretreatment = sieved over 2 mm sieve"",""2:calculation = not specified, sample pretreatment = sieved over 2 mm sieve""}","{1:2012-10-18,2:2012-10-18}",US-NCSS,13N2359,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.780082699999,33.5419426,178083,855971,United States of America,0,8,A,0,"{1:27.80,2:27.80}",27.8,"{""1:calculation = not specified, sample pretreatment = sieved over 2 mm sieve"",""2:calculation = not specified, sample pretreatment = sieved over 2 mm sieve""}","{1:1998-4-3,2:1998-4-3}",US-NCSS,98P0388,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.780082699999,33.5419426,178083,855973,United States of America,33,74,Bk1,0,"{1:50.80,2:50.80}",50.8,"{""1:calculation = not specified, sample pretreatment = sieved over 2 mm sieve"",""2:calculation = not specified, sample pretreatment = sieved over 2 mm sieve""}","{1:1998-4-3,2:1998-4-3}",US-NCSS,98P0388,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
-101.780082699999,33.5419426,178083,855974,United States of America,74,137,Bk2,0,"{1:40.20,2:40.20}",40.2,"{""1:calculation = not specified, sample pretreatment = sieved over 2 mm sieve"",""2:calculation = not specified, sample pretreatment = sieved over 2 mm sieve""}","{1:1998-4-3,2:1998-4-3}",US-NCSS,98P0388,U.S. Public Domain http://www.usa.gov/publicdomain/label/1.0/
