"Clay loam"||"132557076"|"134825036"
"Clay"||"132557077"|"134825037"
"Clay loam"||"132557079"|"134825039"
"Silty clay loam"||"132557080"|"134825040"
"Clay loam"||"132557081"|"134825041"
"Silty clay loam"||"132557082"|"134825042"
"Clay loam"||"132557078"|"134825038"
"Sandy clay loam"||"132557084"|"134825044"
"Clay loam"||"132557085"|"134825045"
"Loam"||"132557086"|"134825046"
"Sandy clay loam"||"132557087"|"134825047"
"Clay loam"||"132557088"|"134825048"
"Sandy clay loam"||"132557089"|"134825049"
"Clay loam"||"132557090"|"134825050"
"Loam"||"132557091"|"134825051"
"Loam"||"132557083"|"134825043"
"Silty clay loam"||"132557096"|"134825056"
"Silty clay"||"132557097"|"134825057"
"Clay"||"132557098"|"134825058"
"Clay loam"||"132557099"|"134825059"
"Silty clay loam"||"132557100"|"134825060"
"Clay"||"132557101"|"134825061"
"Clay"||"132557093"|"134825053"
"Clay loam"||"132557094"|"134825054"
"Silty clay loam"||"132557095"|"134825055"
"Clay loam"||"132557092"|"134825052"
"Clay loam"||"132557108"|"134825068"
"Sandy clay loam"||"132557109"|"134825069"
"Clay loam"||"132557110"|"134825070"
"Clay loam"||"132557106"|"134825066"
"Sandy clay loam"||"132557107"|"134825067"
"Clay loam"||"132557102"|"134825062"
"Sandy clay loam"||"132557103"|"134825063"
"Clay loam"||"132557104"|"134825064"
"Sandy clay loam"||"132557105"|"134825065"
