"year","month","PRCP","Calc_TAVG","TM_OPE"
1940,1,5.8,1.14,0.6
1940,2,52.46,6.98,14.5
1940,3,0,12.64,50.6
1940,4,46.8,16.38,85.7
1940,5,44.2,20.74,145.5
1940,6,52.2,23.89,187.6
1940,7,0,28.11,-1268.4
1940,8,39.9,25.43,197.5
1940,9,18.5,23.15,146.6
1940,10,27.1,17.68,84.6
1940,11,59.7,9.05,22.5
1940,12,5.2,6.93,13.8
1941,1,14,6.28,14.1
1941,2,15.5,6.63,15.4
1941,3,90.5,8.42,28.2
1941,4,56.7,15.01,78.2
1941,5,322.3,20.29,144.2
1941,6,104.9,23.22,181.2
1941,7,93.5,25.16,208.2
1941,8,46.9,25.31,197
1941,9,113.5,21.68,133.7
1941,10,149.7,16.74,80.8
1941,11,4.3,10.23,30.9
1941,12,18.3,6.65,14.9
1942,1,1.1,4.06,6.7
1942,2,4.6,6.39,14.1
1942,3,12.9,10.82,41.8
1942,4,82.7,16.15,87.4
1942,5,8.8,20.65,147.7
1942,6,44.1,25.18,206.6
1942,7,65.6,25.39,211.1
1942,8,126.3,24.41,185.4
1942,9,193.4,19.59,112.6
1942,10,86.2,15.09,67.6
1942,11,0.3,12.55,42.6
1942,12,71.1,5.95,12.1
1943,1,1,5.48,9.8
1943,2,0.6,8.94,22.8
1943,3,6.3,10.2,35.4
1943,4,13.5,18.35,105.1
1943,5,68.9,20.02,137.5
1943,6,60.1,25,203.3
1943,7,80.6,25.97,218.8
1943,8,0,27.94,-1181.7
1943,9,29.5,21.93,133.9
1943,10,2.6,15.55,68.3
1943,11,15.7,8.94,22.5
1943,12,47.5,4.43,6.5
1944,1,32.5,5.05,8.8
1944,2,34.7,7.95,19
1944,3,27.7,10.84,40
1944,4,21.3,15.38,78.3
1944,5,77,20.37,142.4
1944,6,44.4,25.98,217.3
1944,7,74.5,26.01,219.4
1944,8,60.3,26.24,208.7
1944,9,94.7,21.42,129.1
1944,10,20.3,16.61,77.2
1944,11,43.8,10.23,28.9
1944,12,41.7,3.76,5.1
1945,1,17.4,5.1,9.2
1945,2,9.9,7.73,18.5
1945,3,2.5,12.78,53.7
1945,4,11.7,14.29,69.8
1945,5,11.7,22.42,168.2
1945,6,9.1,25.42,209.5
1945,7,78.2,24.99,205.2
1945,8,55,25.68,201.3
1945,9,56.4,22.27,138.3
1945,10,57.4,14.02,58.5
1945,11,6.9,10.02,28.3
1945,12,8.2,3.72,5.2
1946,1,29.9,3.47,4
1946,2,3.8,7.7,16.4
1946,3,19.4,12.47,48.1
1946,4,1.8,19.49,114.6
1946,5,37.9,19.9,134
1946,6,69.1,25.26,206.4
1946,7,14.7,27.12,-1226.7
1946,8,90.2,26.79,216.4
1946,9,91.2,21.31,125.9
1946,10,118.7,17.13,78.8
1946,11,11.2,9.9,25.4
1946,12,26.4,8.01,17
1947,1,20.9,3.94,5.7
1947,2,0,4.75,7.9
1947,3,23.5,8.58,26.9
1947,4,28.7,14.96,74.7
1947,5,153.3,19.83,136
1947,6,14,26.22,220.7
1947,7,23.6,27,-1221.7
1947,8,2.5,25.91,204.3
1947,9,0,23.61,152.4
1947,10,18.8,19.55,101.9
1947,11,35.1,7.08,15.4
1947,12,13,5.91,11
1948,1,2.9,2.33,2.1
1948,2,40.6,5.24,8.8
1948,3,5.6,8.65,26.1
1948,4,12.2,19.19,112.9
1948,5,48.5,21.58,155.9
1948,6,34.6,26.46,224.1
1948,7,31.1,27.01,-1222.2
1948,8,7.9,26.53,212.7
1948,9,27.4,22.14,135.6
1948,10,24.7,15.85,70
1948,11,0.5,8.58,20.5
1948,12,2.6,7.03,14.2
1949,1,97.9,0.23,0.1
1949,2,8.1,6.7,14.9
1949,3,19.8,11.81,47.7
1949,4,45.1,14.58,73
1949,5,176.6,20.49,145.1
1949,6,117.4,24.44,196.4
1949,7,62.8,26.94,232.9
1949,8,59.9,25.12,194.2
1949,9,115.1,21.19,127.7
1949,10,25.9,15.18,67.6
1949,11,0,12.56,42.1
1949,12,9.9,6.41,13.3
1950,1,5.8,6.96,16.6
1950,2,1.8,8.75,24.2
1950,3,0,10.61,41.2
1950,4,17.4,16.18,88.4
1950,5,68.3,20.5,146.6
1950,6,19.6,25.41,209.9
1950,7,67.9,24.29,196.6
1950,8,35.5,23.84,178.6
1950,9,57,19.64,113.7
1950,10,7.3,16.69,80.5
1950,11,0.8,8.4,22.4
1950,12,0.5,4.43,7.7
1951,1,7.9,3.46,4.3
1951,2,18.3,7.19,15.3
1951,3,29.3,9.31,29.7
1951,4,14,13.81,63.6
1951,5,66.3,20.35,140.8
1951,6,48.5,25.64,212.2
1951,7,48.7,28.46,-1283.4
1951,8,99.8,26.77,216
1951,9,12.7,23.19,147
1951,10,16.2,17.92,86.6
1951,11,3.3,8.64,20.8
1951,12,0,7.16,14.6
1952,1,29.4,8.07,17.9
1952,2,3.5,8.86,21.1
1952,3,0.5,10.27,34
1952,4,86.1,15.34,74.9
1952,5,44,21.34,151.7
1952,6,44.7,27.5,-1232.7
1952,7,84.2,25.6,213
1952,8,29.8,28.59,-1207.9
1952,9,22.9,21.83,131.4
1952,10,0,16.04,70.1
1952,11,18.8,8.36,18.8
1952,12,5.6,6.08,10.4
1953,1,8.9,9.54,23.2
1953,2,2.3,7.2,13.9
1953,3,24.7,14.15,58.8
1953,4,12.2,16.08,79.9
1953,5,21.6,20.3,137.4
1953,6,11.4,28.96,-1295
1953,7,32.2,27.07,-1224.6
1953,8,56,25.28,194.8
1953,9,2.1,22.6,138.9
1953,10,102.1,16.21,70.1
1953,11,3,9.85,24.2
1953,12,0,4.94,6.8
1954,1,0,6.31,11.5
1954,2,0,10.47,28.4
1954,3,0.6,9.69,30.7
1954,4,51.1,18.47,104.2
1954,5,135.4,17.99,112
1954,6,9.9,25.83,214.7
1954,7,9.1,28.09,-1267.5
1954,8,42.7,25.6,199.6
1954,9,0,22.97,143.8
1954,10,78.3,16.74,75.6
1954,11,0,10.65,28.9
1954,12,20.3,6.75,12.5
1955,1,16.6,4.54,7.8
1955,2,0,4.64,8.1
1955,3,0.5,10.52,39.3
1955,4,12.2,16.36,88.5
1955,5,54.1,19.87,137.9
1955,6,28,23.41,182.8
1955,7,100.8,25.88,217.8
1955,8,21.6,25.71,201.8
1955,9,60.5,22.93,145.7
1955,10,113.3,16.92,81
1955,11,0,9.85,28
1955,12,0,6.88,15
1956,1,0,6.27,11.1
1956,2,37.6,4.88,7.1
1956,3,0,12.45,47.3
1956,4,9.7,15.38,74.5
1956,5,50.9,23.02,173.1
1956,6,65,26.53,225.2
1956,7,33,26.53,227
1956,8,13.4,25.77,201.8
1956,9,0.8,23.7,151.8
1956,10,29,18.25,87.6
1956,11,0,8.82,20.3
1956,12,6.6,8.06,16.8
1957,1,2.6,5.57,11.3
1957,2,21.4,10.56,32.4
1957,3,26.5,10.77,41.5
1957,4,63.7,14.18,70.5
1957,5,163.8,18.46,122.7
1957,6,120.3,23.76,187.7
1957,7,39.1,27.39,-1237.9
1957,8,8.2,25.8,203.2
1957,9,15,20.66,123
1957,10,118.8,15.01,67
1957,11,42,7.53,18.3
1957,12,1.3,8.18,20.5
1958,1,37.1,3.98,6.2
1958,2,14.7,5.18,9.7
1958,3,75.5,5.95,15.2
1958,4,57.7,13.89,67.3
1958,5,114.7,20.78,148.6
1958,6,18.5,26.44,224
1958,7,81,27.11,-1226.3
1958,8,5.6,26.32,209.9
1958,9,65.7,22.31,139.2
1958,10,23.2,15.7,71.5
1958,11,12.2,10.96,33.5
1958,12,0,5.85,11.5
1959,1,1,4.66,8.1
1959,2,4.1,6.61,14.6
1959,3,0,11.07,42.8
1959,4,29.4,15.33,79.4
1959,5,72.4,21.23,154
1959,6,200,24.63,198.9
1959,7,46.3,25.01,205.7
1959,8,8.4,26.12,207.3
1959,9,10.2,23.01,146.6
1959,10,44.8,15.31,68.5
1959,11,2,8.16,20.5
1959,12,43.7,7.08,15.8
1960,1,24.1,4.16,6.5
1960,2,23.6,3.4,4.6
1960,3,14.1,8.28,25.8
1960,4,4.6,16.97,93.3
1960,5,33.2,20.81,148.3
1960,6,112,26.12,219.4
1960,7,189.4,25.36,210.4
1960,8,0,25.85,203.6
1960,9,7.4,22.96,145.7
1960,10,30.5,17.64,86.2
1960,11,0,11.62,36.4
1960,12,41.6,3.42,4.5
1961,1,14.7,3.05,5
1961,2,40.7,6.34,15.8
1961,3,39.4,10.88,45.6
1961,4,3.8,16.09,90.7
1961,5,47.7,21.3,158.5
1961,6,93.2,23.18,182.4
1961,7,129.1,24.02,194.4
1961,8,21.7,23.85,180.2
1961,9,11.9,20.65,125.6
1961,10,16.5,16,77.8
1961,11,36.8,6.94,17.9
1961,12,3,4.55,9
1962,1,6.6,1.75,1.5
1962,2,0.5,8.87,23.4
1962,3,0,8.69,28
1962,4,39.6,15.88,83.4
1962,5,0.5,23.57,183
1962,6,53.6,23.64,185.4
1962,7,90.9,25.78,216.3
1962,8,36.5,24.98,192.1
1962,9,113.9,20.93,124.6
1962,10,60.5,16.85,79.8
1962,11,11.2,10.73,31.8
1962,12,31.7,6.35,12.8
1963,1,1,1.35,0.8
1963,2,17,6.69,13.5
1963,3,17,11.91,45.6
1963,4,20.9,18.46,105.5
1963,5,95,21.5,154.9
1963,6,81.2,24.31,193.4
1963,7,6.9,27.25,-1232.1
1963,8,43.9,25.64,200.4
1963,9,58.2,22.11,135.3
1963,10,14.8,18.43,91
1963,11,34.3,10.85,30.9
1963,12,6.7,3.5,4.2
1964,1,11.4,3.76,5.3
1964,2,13.8,3.18,4
1964,3,16.2,9.56,32.3
1964,4,2.8,16.37,87.1
1964,5,42.4,21.83,160.2
1964,6,127,24.82,201
1964,7,20.8,27.78,-1254.3
1964,8,29,26.6,213.6
1964,9,62.7,21.62,131.1
1964,10,7.6,16.72,78.1
1964,11,14.5,10.25,29
1964,12,22.8,6.01,11.4
1965,1,2.1,6.81,13.2
1965,2,8.9,4.64,6.7
1965,3,5.7,6.01,13.1
1965,4,10.5,17.55,95.1
1965,5,41.5,21.71,156.4
1965,6,36.6,25.24,206.1
1965,7,54.4,27.58,-1245.9
1965,8,15.6,25.53,198.6
1965,9,144.4,22.73,141.2
1965,10,27.1,17.5,81.9
1965,11,0.5,14.04,47.3
1965,12,12.7,8.32,18.2
1966,1,13.2,1.23,0.7
1966,2,1.5,4.73,7.4
1966,3,3.3,13.14,54.2
1966,4,77,15.79,80.4
1966,5,17,20.99,148.6
1966,6,57.6,25.85,215.2
1966,7,14.5,29.66,-1336.6
1966,8,224.9,24.85,189.8
1966,9,55.4,21.96,133.7
1966,10,0,16.08,71.7
1966,11,2.8,13.1,42.9
1966,12,0.8,3.34,3.9
1967,1,0,4.81,9.4
1967,2,3.7,5.24,10.8
1967,3,53.1,13.23,59.8
1967,4,24.2,17.8,104.1
1967,5,87.6,18.89,129
1967,6,202,23.99,191.5
1967,7,83.6,24.97,205.9
1967,8,18,23.79,178.4
1967,9,25,20.28,120.4
1967,10,11.5,15.8,74.2
1967,11,2.9,9.59,28.3
1967,12,13.4,2.65,3.4
1968,1,23.9,4.8,11.4
1968,2,20.9,3.61,7.5
1968,3,70.5,9.12,37.2
1968,4,14.8,12.9,67.4
1968,5,51.3,18.6,131.4
1968,6,46,23.62,189.5
1968,7,79.9,24.04,196.1
1968,8,69.1,23.45,177
