time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
2022.50,205,'W4EG70',1.7890,1.5785,0.0831,0.9839,0.0634,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1610,0.0035,0.0000,0.0000,0.6441,0.0142,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.5965,6.2673,0.0000,0.0000,0.2596,0.0165,0.0000,0.0000,0.9839,0.0634,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1668,0.0036,0.0000,0.0000,1.0244,0.0222,0.0000,0.0000,0.0516,0.0011,0.0000,0.0000,0.3168,0.0068,0.0000,0.0000
2023.75,303,'C822',558.7426,162.2909,8.5416,346.4204,8.2203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.4644,0.4603,0.0000,0.0000,169.8577,1.8414,0.0000,0.0000,0.0000,14.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.9823,1.3108,0.0000,0.0000,0.1454,0.0081,0.0000,0.0000,346.4204,8.2203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.5790,0.3904,0.0000,0.0000,114.1280,2.3981,0.0000,0.0000,4.6953,0.0999,0.0000,0.0000,28.8428,0.6137,0.0000,0.0000
2024.75,292,'SYBN100',183.6920,43.1160,2.2693,79.4527,9.8446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.8479,0.7853,0.0000,0.0000,83.3914,3.1412,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.0890,0.9315,0.0000,0.0000,0.8327,0.0345,0.0000,0.0000,79.4527,9.8446,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9379,0.1576,0.0000,0.0000,24.1900,0.9678,0.0000,0.0000,1.1005,0.0433,0.0000,0.0000,6.7602,0.2657,0.0000,0.0000
2025.50,205,'W4EG70',407.7250,99.2052,5.2213,224.1014,5.6414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,36.7247,0.3164,0.0000,0.0000,146.8989,1.2656,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.8017,0.3983,0.0000,0.0000,0.0535,0.0024,0.0000,0.0000,224.1014,5.6414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.1885,0.2462,0.0000,0.0000,74.8723,1.5122,0.0000,0.0000,2.1362,0.0435,0.0000,0.0000,13.1226,0.2675,0.0000,0.0000
2026.75,303,'C822',577.5157,163.6382,8.6125,358.0598,8.3484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.8912,0.4675,0.0000,0.0000,175.5648,1.8700,0.0000,0.0000,0.0000,14.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,60.6272,2.1951,0.0000,0.0000,0.3555,0.0166,0.0000,0.0000,358.0598,8.3484,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.0026,0.3987,0.0000,0.0000,116.7300,2.4491,0.0000,0.0000,4.5022,0.0958,0.0000,0.0000,27.6562,0.5885,0.0000,0.0000
2027.75,292,'SYBN100',213.3071,46.5863,2.4519,95.9817,11.4881,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.4651,0.8535,0.0000,0.0000,93.8604,3.4140,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.8192,0.2855,0.0000,0.0000,1.4753,0.0614,0.0000,0.0000,95.9817,11.4881,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1297,0.1661,0.0000,0.0000,25.3680,1.0205,0.0000,0.0000,1.2605,0.0499,0.0000,0.0000,7.7429,0.3068,0.0000,0.0000
2028.50,205,'W4EG70',412.6282,65.5859,3.4519,226.8966,5.7478,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.1463,0.3220,0.0000,0.0000,148.5853,1.2881,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.8337,1.1308,0.0000,0.0000,0.0676,0.0029,0.0000,0.0000,226.8966,5.7478,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.9525,0.1584,0.0000,0.0000,48.8512,0.9729,0.0000,0.0000,1.4835,0.0297,0.0000,0.0000,9.1127,0.1824,0.0000,0.0000
2029.75,303,'C822',530.1032,159.1506,8.3763,289.8490,7.7322,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.0508,0.5614,0.0000,0.0000,192.2034,2.2455,0.0000,0.0000,0.0000,14.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,34.1173,1.3180,0.0000,0.0000,0.9561,0.0412,0.0000,0.0000,289.8490,7.7322,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.9059,0.3861,0.0000,0.0000,109.9931,2.3720,0.0000,0.0000,4.7528,0.1029,0.0000,0.0000,29.1959,0.6318,0.0000,0.0000
2030.75,292,'SYBN100',217.0444,46.7641,2.4613,97.6700,11.8201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.8749,0.8781,0.0000,0.0000,95.4996,3.5122,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.7925,0.8082,0.0000,0.0000,0.3052,0.0132,0.0000,0.0000,97.6700,11.8201,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.2910,0.1740,0.0000,0.0000,26.3592,1.0686,0.0000,0.0000,1.1697,0.0467,0.0000,0.0000,7.1853,0.2870,0.0000,0.0000
2031.50,205,'W4EG70',398.8551,97.3635,5.1244,219.3703,5.6823,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.8970,0.3182,0.0000,0.0000,143.5878,1.2728,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6283,0.9143,0.0000,0.0000,0.0539,0.0025,0.0000,0.0000,219.3703,5.6823,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,11.7025,0.2388,0.0000,0.0000,71.8867,1.4668,0.0000,0.0000,2.3075,0.0474,0.0000,0.0000,14.1748,0.2911,0.0000,0.0000
