time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
1850.75,296,'C115',274.4627,71.6111,3.7690,96.0619,3.2979,0.0000,0.0000,160.5607,2.7306,0.0000,0.0000,160.5607,2.7306,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5680,0.0607,0.0000,0.0000,14.2721,0.2427,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.7572,0.3191,0.0000,0.0000,1.7371,0.0718,0.0000,0.0000,96.0619,3.2979,0.0000,0.0000,160.5607,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.3898,0.1753,0.0000,0.0000,51.5374,1.0767,0.0000,0.0000,1.8920,0.0398,0.0000,0.0000,11.6226,0.2444,0.0000,0.0000
1851.75,296,'C115',350.8495,80.8746,4.2566,122.7973,4.2783,0.0000,0.0000,205.2470,3.5424,0.0000,0.0000,205.2470,3.5424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.5610,0.0787,0.0000,0.0000,18.2442,0.3149,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.4522,0.5204,0.0000,0.0000,1.4934,0.0855,0.0000,0.0000,122.7973,4.2783,0.0000,0.0000,205.2470,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.5444,0.2105,0.0000,0.0000,58.6298,1.2929,0.0000,0.0000,2.0733,0.0459,0.0000,0.0000,12.7360,0.2817,0.0000,0.0000
1852.75,296,'C115',302.3903,74.4787,3.9199,105.8366,3.7462,0.0000,0.0000,176.8983,3.1019,0.0000,0.0000,176.8983,3.1019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9311,0.0689,0.0000,0.0000,15.7243,0.2757,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.7118,0.8401,0.0000,0.0000,0.4535,0.0432,0.0000,0.0000,105.8366,3.7462,0.0000,0.0000,176.8983,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5794,0.1858,0.0000,0.0000,52.7023,1.1411,0.0000,0.0000,2.0127,0.0439,0.0000,0.0000,12.3635,0.2695,0.0000,0.0000
1853.75,296,'C115',288.3361,81.7002,4.3000,86.1582,3.3670,0.0000,0.0000,181.9601,3.2665,0.0000,0.0000,181.9601,3.2665,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0436,0.0726,0.0000,0.0000,16.1742,0.2904,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.6420,0.8352,0.0000,0.0000,1.1817,0.0869,0.0000,0.0000,86.1582,3.3670,0.0000,0.0000,181.9601,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.1062,0.1971,0.0000,0.0000,55.9380,1.2105,0.0000,0.0000,2.4385,0.0532,0.0000,0.0000,14.9791,0.3271,0.0000,0.0000
1854.75,296,'C115',300.3251,74.4519,3.9185,103.2435,3.5847,0.0000,0.0000,177.3735,3.0240,0.0000,0.0000,177.3735,3.0240,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9416,0.0672,0.0000,0.0000,15.7665,0.2688,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.3002,2.1163,0.0000,0.0000,0.9133,0.0722,0.0000,0.0000,103.2435,3.5847,0.0000,0.0000,177.3735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6430,0.1840,0.0000,0.0000,53.0927,1.1305,0.0000,0.0000,2.0421,0.0438,0.0000,0.0000,12.5441,0.2693,0.0000,0.0000
1855.75,296,'C115',279.8214,77.5586,4.0820,97.8600,3.3957,0.0000,0.0000,163.7652,2.8140,0.0000,0.0000,163.7652,2.8140,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6392,0.0625,0.0000,0.0000,14.5569,0.2501,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.4435,0.8216,0.0000,0.0000,0.9904,0.0680,0.0000,0.0000,97.8600,3.3957,0.0000,0.0000,163.7652,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.6040,0.1817,0.0000,0.0000,52.8533,1.1160,0.0000,0.0000,2.4193,0.0516,0.0000,0.0000,14.8617,0.3168,0.0000,0.0000
1856.75,296,'C115',241.7721,68.9969,3.6314,80.8748,3.1922,0.0000,0.0000,144.8076,2.7694,0.0000,0.0000,144.8076,2.7694,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.2179,0.0615,0.0000,0.0000,12.8718,0.2462,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,20.8168,1.9341,0.0000,0.0000,1.8467,0.1226,0.0000,0.0000,80.8748,3.1922,0.0000,0.0000,144.8076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7877,0.1684,0.0000,0.0000,47.8389,1.0346,0.0000,0.0000,1.9420,0.0424,0.0000,0.0000,11.9295,0.2602,0.0000,0.0000
1857.75,296,'C115',272.3044,72.7742,3.8302,88.5852,3.2519,0.0000,0.0000,165.3473,2.9019,0.0000,0.0000,165.3473,2.9019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.6744,0.0645,0.0000,0.0000,14.6975,0.2579,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.8165,1.1484,0.0000,0.0000,2.3292,0.1567,0.0000,0.0000,88.5852,3.2519,0.0000,0.0000,165.3473,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.4145,0.1783,0.0000,0.0000,51.6893,1.0950,0.0000,0.0000,1.9988,0.0428,0.0000,0.0000,12.2781,0.2632,0.0000,0.0000
1858.75,296,'C115',303.0425,72.4106,3.8111,106.0649,3.6758,0.0000,0.0000,177.2799,3.0436,0.0000,0.0000,177.2799,3.0436,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.9396,0.0676,0.0000,0.0000,15.7582,0.2705,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,13.1271,1.0911,0.0000,0.0000,0.2423,0.0197,0.0000,0.0000,106.0649,3.6758,0.0000,0.0000,177.2799,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.5309,0.1827,0.0000,0.0000,52.4041,1.1222,0.0000,0.0000,1.8724,0.0406,0.0000,0.0000,11.5016,0.2493,0.0000,0.0000
1859.75,296,'C115',267.9593,79.4297,4.1805,93.7857,3.2363,0.0000,0.0000,156.7562,2.6797,0.0000,0.0000,156.7562,2.6797,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.4835,0.0595,0.0000,0.0000,13.9339,0.2382,0.0000,0.0000,0.0000,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.5609,1.2018,0.0000,0.0000,0.7042,0.0418,0.0000,0.0000,93.7857,3.2363,0.0000,0.0000,156.7562,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.8385,0.1848,0.0000,0.0000,54.2936,1.1354,0.0000,0.0000,2.5126,0.0532,0.0000,0.0000,15.4347,0.3269,0.0000,0.0000
