time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
1990.00,31,'CLVC80',179.4552,78.4146,4.1271,0.0000,0.0000,0.0000,0.0000,179.7108,6.6874,0.0000,0.0000,179.4552,6.6794,0.0000,0.0000,0.2557,0.0079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,179.7108,6.6874,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.1601,2.0466,0.0000,0.0000,62.4118,12.5720,0.0000,0.0000,1.0500,0.2101,0.0000,0.0000,6.4501,1.2904,0.0000,0.0000
1990.83,316,'C721',566.9547,159.0896,8.3731,323.1642,7.6433,0.0000,0.0000,182.8429,1.6051,0.0000,0.0000,182.8429,1.6051,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.1895,0.1070,0.0000,0.0000,48.7581,0.4280,0.0000,0.0000,0.0000,2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.4815,1.1194,0.0000,0.0000,0.1746,0.0166,0.0000,0.0000,323.1642,7.6433,0.0000,0.0000,362.5537,6.6874,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.9391,0.3849,0.0000,0.0000,116.3403,2.3643,0.0000,0.0000,3.8377,0.0792,0.0000,0.0000,23.5743,0.4864,0.0000,0.0000
1991.75,274,'SYBN100',325.9649,54.9623,2.8928,146.6842,16.6373,0.0000,0.0000,134.4605,4.6347,0.0000,0.0000,134.4605,4.6347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.9640,0.3090,0.0000,0.0000,35.8561,1.2359,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.8509,0.1913,0.0000,0.0000,0.1965,0.0095,0.0000,0.0000,146.6842,16.6373,0.0000,0.0000,134.4605,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.3102,0.2141,0.0000,0.0000,32.6196,1.3155,0.0000,0.0000,1.2869,0.0510,0.0000,0.0000,7.9054,0.3135,0.0000,0.0000
1992.50,203,'W4EG70',99.7839,29.9676,1.5772,54.8811,1.3529,0.0000,0.0000,33.6771,0.2841,0.0000,0.0000,33.6771,0.2841,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.2451,0.0189,0.0000,0.0000,8.9805,0.0758,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.5187,0.0601,0.0000,0.0000,0.0155,0.0007,0.0000,0.0000,54.8811,1.3529,0.0000,0.0000,33.6771,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7570,0.0669,0.0000,0.0000,23.0787,0.4111,0.0000,0.0000,0.5596,0.0100,0.0000,0.0000,3.4376,0.0617,0.0000,0.0000
1993.00,31,'CLVC80',88.4463,38.8833,2.0465,0.0000,0.0000,0.0000,0.0000,91.7636,3.9874,0.0000,0.0000,88.4463,3.9211,0.0000,0.0000,3.3174,0.0664,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,91.7636,3.9874,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.1315,1.0182,0.0000,0.0000,31.5222,6.2544,0.0000,0.0000,0.4431,0.0862,0.0000,0.0000,2.7220,0.5295,0.0000,0.0000
1993.83,306,'C721',484.9816,156.1410,8.2179,276.4395,6.8893,0.0000,0.0000,156.4066,1.4468,0.0000,0.0000,156.4066,1.4468,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.4271,0.0965,0.0000,0.0000,41.7084,0.3858,0.0000,0.0000,0.0000,6.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.0162,1.2559,0.0000,0.0000,0.1294,0.0086,0.0000,0.0000,276.4395,6.8893,0.0000,0.0000,248.1702,3.9874,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.9560,0.3851,0.0000,0.0000,116.4441,2.3656,0.0000,0.0000,3.4843,0.0722,0.0000,0.0000,21.4035,0.4433,0.0000,0.0000
1994.25,97,'CLVC80',2.6574,1.2238,0.0644,0.0000,0.0000,0.0000,0.0000,8.8719,0.2504,0.0000,0.0000,2.6574,0.1929,0.0000,0.0000,6.2145,0.0575,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0873,0.0521,0.0000,0.0000,0.0031,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.8719,0.2504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1707,0.0297,0.0000,0.0000,1.0483,0.1824,0.0000,0.0000,0.0090,0.0016,0.0000,0.0000,0.0555,0.0097,0.0000,0.0000
1994.75,288,'SYBN100',287.1660,43.2873,2.2783,129.2247,15.2303,0.0000,0.0000,118.4560,4.2427,0.0000,0.0000,118.4560,4.2427,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.8971,0.2828,0.0000,0.0000,31.5883,1.1314,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.6569,0.7918,0.0000,0.0000,0.4504,0.0206,0.0000,0.0000,129.2247,15.2303,0.0000,0.0000,127.3279,0.2504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.1505,0.1692,0.0000,0.0000,25.4961,1.0397,0.0000,0.0000,0.9833,0.0398,0.0000,0.0000,6.0404,0.2443,0.0000,0.0000
1995.50,207,'W4EG70',276.3963,55.2474,2.9078,151.9285,3.8160,0.0000,0.0000,93.2289,0.8014,0.0000,0.0000,93.2289,0.8014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,6.2153,0.0534,0.0000,0.0000,24.8610,0.2137,0.0000,0.0000,0.0000,3.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5.9673,0.1710,0.0000,0.0000,0.0502,0.0025,0.0000,0.0000,151.9285,3.8160,0.0000,0.0000,93.2289,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.0246,0.1359,0.0000,0.0000,43.1512,0.8348,0.0000,0.0000,0.9258,0.0181,0.0000,0.0000,5.6873,0.1113,0.0000,0.0000
1996.00,31,'CLVC80',154.4852,68.6286,3.6120,0.0000,0.0000,0.0000,0.0000,157.8101,5.8528,0.0000,0.0000,154.4852,5.8242,0.0000,0.0000,3.3249,0.0286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,157.8101,5.8528,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.9578,1.7336,0.0000,0.0000,55.0268,10.6493,0.0000,0.0000,0.8629,0.1629,0.0000,0.0000,5.3005,1.0009,0.0000,0.0000
