time,dayofyr,crpval,agcacc,bgcjacc,bgcmacc,cgrain,egrain(N),egrain(P),egrain(S),crmvst,ermvst(N),ermvst(P),ermvst(S),cstraw,estraw(N),estraw(P),estraw(S),stdstraw,estdstraw(N),estdstraw(P),estdstraw(S),addsdc,addsde(N),addsde(P),addsde(S),resid,reside(N),reside(P),reside(S),irrapp,fertapp(N),fertapp(P),fertapp(S),afertapp(N),afertapp(P),afertapp(S),omadapp,omaeapp(N),omaeapp(P),omaeapp(S),strmac(1),strmac(2),strmac(3),strmac(4),strmac(5),strmac(6),strmac(7),strmac(8),cgracc,egracc(N),egracc(P),egracc(S),accrst,accrste(N),accrste(P),accrste(S),ctubesj,etubesj(N),etubesj(P),etubesj(S),ctubesm,etubesm(N),etubesm(P),etubesm(S),srfclittrj,esrfclittrj(N),esrfclittrj(P),esrfclittrj(S),soillittrj,esoillittrj(N),esoillittrj(P),esoillittrj(S),srfclittrm,esrfclittrm(N),esrfclittrm(P),esrfclittrm(S),soillittrm,esoillittrm(N),esoillittrm(P),esoillittrm(S)
2022.50,205,'W4EG70',1.7890,1.5785,0.0831,0.9839,0.0634,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1610,0.0035,0.0000,0.0000,0.6441,0.0142,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.6835,0.9553,0.0000,0.0000,0.0685,0.0041,0.0000,0.0000,0.9839,0.0634,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1651,0.0036,0.0000,0.0000,1.0144,0.0219,0.0000,0.0000,0.0533,0.0012,0.0000,0.0000,0.3273,0.0071,0.0000,0.0000
2023.75,303,'C822',533.9094,160.5960,8.4524,331.0238,8.0077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.5771,0.4484,0.0000,0.0000,162.3085,1.7937,0.0000,0.0000,0.0000,14.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,39.2335,2.3347,0.0000,0.0000,0.3137,0.0194,0.0000,0.0000,331.0238,8.0077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.7728,0.3964,0.0000,0.0000,115.3188,2.4350,0.0000,0.0000,4.2978,0.0921,0.0000,0.0000,26.4011,0.5656,0.0000,0.0000
2024.75,292,'SYBN100',223.5489,48.2267,2.5382,100.5970,11.8353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,24.5904,0.8792,0.0000,0.0000,98.3615,3.5168,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,57.6066,0.8626,0.0000,0.0000,0.6540,0.0275,0.0000,0.0000,100.5970,11.8353,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.6177,0.1848,0.0000,0.0000,28.3658,1.1354,0.0000,0.0000,1.1420,0.0449,0.0000,0.0000,7.0151,0.2757,0.0000,0.0000
2025.50,205,'W4EG70',356.6914,133.2992,7.0157,196.1510,5.0073,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.1081,0.2805,0.0000,0.0000,128.4323,1.1220,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,28.9749,0.3871,0.0000,0.0000,0.0440,0.0020,0.0000,0.0000,196.1510,5.0073,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.4427,0.3332,0.0000,0.0000,101.0053,2.0470,0.0000,0.0000,2.8345,0.0580,0.0000,0.0000,17.4117,0.3563,0.0000,0.0000
2026.75,303,'C822',588.3715,180.3315,9.4911,364.7903,8.3587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.7162,0.4681,0.0000,0.0000,178.8649,1.8723,0.0000,0.0000,0.0000,14.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.4531,1.2076,0.0000,0.0000,0.3318,0.0155,0.0000,0.0000,364.7903,8.3587,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.7639,0.4546,0.0000,0.0000,133.6923,2.7926,0.0000,0.0000,4.2053,0.0888,0.0000,0.0000,25.8328,0.5453,0.0000,0.0000
2027.75,292,'SYBN100',161.4598,38.7458,2.0393,72.4844,9.0130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.7951,0.6725,0.0000,0.0000,71.1803,2.6899,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.4630,0.7283,0.0000,0.0000,0.8132,0.0354,0.0000,0.0000,72.4844,9.0130,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.7148,0.1478,0.0000,0.0000,22.8196,0.9082,0.0000,0.0000,0.8817,0.0345,0.0000,0.0000,5.4161,0.2120,0.0000,0.0000
2028.50,205,'W4EG70',348.2393,132.4593,6.9715,191.5316,4.8247,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.3415,0.2702,0.0000,0.0000,125.3662,1.0807,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.9530,0.7079,0.0000,0.0000,0.0459,0.0020,0.0000,0.0000,191.5316,4.8247,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.5047,0.3332,0.0000,0.0000,101.3861,2.0469,0.0000,0.0000,2.6715,0.0546,0.0000,0.0000,16.4106,0.3351,0.0000,0.0000
2029.75,303,'C822',593.9010,162.9567,8.5767,351.7086,8.5560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.4385,0.5300,0.0000,0.0000,193.7540,2.1198,0.0000,0.0000,0.0000,14.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.0276,0.6687,0.0000,0.0000,0.1820,0.0088,0.0000,0.0000,351.7086,8.5560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.8662,0.4019,0.0000,0.0000,115.8921,2.4688,0.0000,0.0000,4.4413,0.0951,0.0000,0.0000,27.2820,0.5842,0.0000,0.0000
2030.75,292,'SYBN100',193.5635,45.5181,2.3957,85.9167,10.5011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,21.5294,0.7999,0.0000,0.0000,86.1174,3.1996,0.0000,0.0000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.3928,0.7847,0.0000,0.0000,0.2252,0.0100,0.0000,0.0000,85.9167,10.5011,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,4.4722,0.1797,0.0000,0.0000,27.4721,1.1037,0.0000,0.0000,1.0277,0.0406,0.0000,0.0000,6.3133,0.2496,0.0000,0.0000
2031.50,205,'W4EG70',422.2027,98.8795,5.2042,232.2115,5.6948,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.9982,0.3189,0.0000,0.0000,151.9930,1.2756,0.0000,0.0000,0.0000,7.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.8794,0.2862,0.0000,0.0000,0.0507,0.0023,0.0000,0.0000,232.2115,5.6948,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.2664,0.2458,0.0000,0.0000,75.3507,1.5098,0.0000,0.0000,2.0301,0.0410,0.0000,0.0000,12.4704,0.2520,0.0000,0.0000
