"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
"1850",NA,NA,NA,"59.2602","RothC","1_2","1","2",""
"1851",NA,NA,NA,"58.5997","RothC","1_2","1","2",""
"1852",NA,NA,NA,"56.9305","RothC","1_2","1","2",""
"1853",NA,NA,NA,"55.5631","RothC","1_2","1","2",""
"1854",NA,NA,NA,"54.4132","RothC","1_2","1","2",""
"1855",NA,NA,NA,"53.3378","RothC","1_2","1","2",""
"1856",NA,NA,NA,"52.3943","RothC","1_2","1","2",""
"1857",NA,NA,NA,"51.5205","RothC","1_2","1","2",""
"1858",NA,NA,NA,"50.7557","RothC","1_2","1","2",""
"1859",NA,NA,NA,"50.0464","RothC","1_2","1","2",""
"1860",NA,NA,NA,"49.433","RothC","1_2","1","2",""
"1861",NA,NA,NA,"48.7978","RothC","1_2","1","2",""
"1862",NA,NA,NA,"48.2291","RothC","1_2","1","2",""
"1863",NA,NA,NA,"47.7209","RothC","1_2","1","2",""
"1864",NA,NA,NA,"47.2076","RothC","1_2","1","2",""
"1865",NA,NA,NA,"46.7223","RothC","1_2","1","2",""
"1866",NA,NA,NA,"46.2804","RothC","1_2","1","2",""
"1867",NA,NA,NA,"45.845","RothC","1_2","1","2",""
"1868",NA,NA,NA,"45.4242","RothC","1_2","1","2",""
"1869",NA,NA,NA,"45.0184","RothC","1_2","1","2",""
"1870",NA,NA,NA,"44.6053","RothC","1_2","1","2",""
"1871",NA,NA,NA,"44.242","RothC","1_2","1","2",""
"1872",NA,NA,NA,"43.8902","RothC","1_2","1","2",""
"1873",NA,NA,NA,"43.5496","RothC","1_2","1","2",""
"1874",NA,NA,NA,"43.1662","RothC","1_2","1","2",""
"1875",NA,NA,NA,"42.7851","RothC","1_2","1","2",""
"1876",NA,NA,NA,"42.4348","RothC","1_2","1","2",""
"1877",NA,NA,NA,"42.1567","RothC","1_2","1","2",""
"1878",NA,NA,NA,"41.9122","RothC","1_2","1","2",""
"1879",NA,NA,NA,"41.6375","RothC","1_2","1","2",""
"1880",NA,NA,NA,"41.3668","RothC","1_2","1","2",""
"1881",NA,NA,NA,"41.0435","RothC","1_2","1","2",""
"1882",NA,NA,NA,"40.7735","RothC","1_2","1","2",""
"1883",NA,NA,NA,"40.453","RothC","1_2","1","2",""
"1884",NA,NA,NA,"40.1614","RothC","1_2","1","2",""
"1885",NA,NA,NA,"39.8604","RothC","1_2","1","2",""
"1886",NA,NA,NA,"39.5568","RothC","1_2","1","2",""
"1887",NA,NA,NA,"39.2935","RothC","1_2","1","2",""
"1888",NA,NA,NA,"39.0099","RothC","1_2","1","2",""
"1889",NA,NA,NA,"38.6987","RothC","1_2","1","2",""
"1890",NA,NA,NA,"38.428","RothC","1_2","1","2",""
"1891",NA,NA,NA,"38.1608","RothC","1_2","1","2",""
"1892",NA,NA,NA,"37.8727","RothC","1_2","1","2",""
"1893",NA,NA,NA,"37.601","RothC","1_2","1","2",""
"1894",NA,NA,NA,"37.3416","RothC","1_2","1","2",""
"1895",NA,NA,NA,"37.0692","RothC","1_2","1","2",""
"1896",NA,NA,NA,"36.7952","RothC","1_2","1","2",""
"1897",NA,NA,NA,"36.5182","RothC","1_2","1","2",""
"1898",NA,NA,NA,"36.2385","RothC","1_2","1","2",""
"1899",NA,NA,NA,"35.9771","RothC","1_2","1","2",""
"1900",NA,NA,NA,"35.8132","RothC","1_2","1","2",""
"1901",NA,NA,NA,"35.6675","RothC","1_2","1","2",""
"1902",NA,NA,NA,"35.506","RothC","1_2","1","2",""
"1903",NA,NA,NA,"35.3452","RothC","1_2","1","2",""
"1904",NA,NA,NA,"35.1963","RothC","1_2","1","2",""
"1905",NA,NA,NA,"35.0418","RothC","1_2","1","2",""
"1906",NA,NA,NA,"34.9117","RothC","1_2","1","2",""
"1907",NA,NA,NA,"34.7544","RothC","1_2","1","2",""
"1908",NA,NA,NA,"34.6092","RothC","1_2","1","2",""
"1909",NA,NA,NA,"34.4365","RothC","1_2","1","2",""
"1910",NA,NA,NA,"34.2801","RothC","1_2","1","2",""
"1911",NA,NA,NA,"34.1039","RothC","1_2","1","2",""
"1912",NA,NA,NA,"33.9467","RothC","1_2","1","2",""
"1913",NA,NA,NA,"33.7767","RothC","1_2","1","2",""
"1914",NA,NA,NA,"33.6044","RothC","1_2","1","2",""
"1915",NA,NA,NA,"33.4597","RothC","1_2","1","2",""
"1916",NA,NA,NA,"33.3016","RothC","1_2","1","2",""
"1917",NA,NA,NA,"33.1177","RothC","1_2","1","2",""
"1918",NA,NA,NA,"32.9688","RothC","1_2","1","2",""
"1919",NA,NA,NA,"32.8218","RothC","1_2","1","2",""
"1920",NA,NA,NA,"32.6626","RothC","1_2","1","2",""
"1921",NA,NA,NA,"32.5107","RothC","1_2","1","2",""
"1922",NA,NA,NA,"32.3662","RothC","1_2","1","2",""
"1923",NA,NA,NA,"32.2158","RothC","1_2","1","2",""
"1924",NA,NA,NA,"32.0558","RothC","1_2","1","2",""
"1925",NA,NA,NA,"31.8963","RothC","1_2","1","2",""
"1926",NA,NA,NA,"31.7314","RothC","1_2","1","2",""
"1927",NA,NA,NA,"31.5791","RothC","1_2","1","2",""
"1928",NA,NA,NA,"31.4472","RothC","1_2","1","2",""
"1929",NA,NA,NA,"31.3086","RothC","1_2","1","2",""
"1930",NA,NA,NA,"31.1479","RothC","1_2","1","2",""
"1931",NA,NA,NA,"30.9915","RothC","1_2","1","2",""
"1932",NA,NA,NA,"30.8485","RothC","1_2","1","2",""
"1933",NA,NA,NA,"30.7063","RothC","1_2","1","2",""
"1934",NA,NA,NA,"30.5845","RothC","1_2","1","2",""
"1935",NA,NA,NA,"30.4397","RothC","1_2","1","2",""
"1936",NA,NA,NA,"30.3095","RothC","1_2","1","2",""
"1937",NA,NA,NA,"30.1607","RothC","1_2","1","2",""
"1938",NA,NA,NA,"30.023","RothC","1_2","1","2",""
"1939",NA,NA,NA,"29.872","RothC","1_2","1","2",""
"1940",NA,NA,NA,"29.7382","RothC","1_2","1","2",""
"1941",NA,NA,NA,"29.5944","RothC","1_2","1","2",""
"1942",NA,NA,NA,"29.4476","RothC","1_2","1","2",""
"1943",NA,NA,NA,"29.3275","RothC","1_2","1","2",""
"1944",NA,NA,NA,"29.1971","RothC","1_2","1","2",""
"1945",NA,NA,NA,"29.0418","RothC","1_2","1","2",""
"1946",NA,NA,NA,"28.9207","RothC","1_2","1","2",""
"1947",NA,NA,NA,"28.8009","RothC","1_2","1","2",""
"1948",NA,NA,NA,"28.6714","RothC","1_2","1","2",""
"1949",NA,NA,NA,"28.5481","RothC","1_2","1","2",""
"1950",NA,NA,NA,"28.4355","RothC","1_2","1","2",""
"1951",NA,NA,NA,"28.3287","RothC","1_2","1","2",""
"1952",NA,NA,NA,"28.3018","RothC","1_2","1","2",""
"1953",NA,NA,NA,"28.1808","RothC","1_2","1","2",""
"1954",NA,NA,NA,"28.1385","RothC","1_2","1","2",""
"1955",NA,NA,NA,"28.0341","RothC","1_2","1","2",""
"1956",NA,NA,NA,"27.9882","RothC","1_2","1","2",""
"1957",NA,NA,NA,"27.8649","RothC","1_2","1","2",""
"1958",NA,NA,NA,"27.7969","RothC","1_2","1","2",""
"1959",NA,NA,NA,"27.6635","RothC","1_2","1","2",""
"1960",NA,NA,NA,"27.6142","RothC","1_2","1","2",""
"1961",NA,NA,NA,"27.4868","RothC","1_2","1","2",""
"1962",NA,NA,NA,"27.4738","RothC","1_2","1","2",""
"1963",NA,NA,NA,"27.3287","RothC","1_2","1","2",""
"1964",NA,NA,NA,"27.2982","RothC","1_2","1","2",""
"1965",NA,NA,NA,"27.1282","RothC","1_2","1","2",""
"1966",NA,NA,NA,"27.108","RothC","1_2","1","2",""
"1967",NA,NA,NA,"26.9613","RothC","1_2","1","2",""
"1968",NA,NA,NA,"26.9311","RothC","1_2","1","2",""
"1969",NA,NA,NA,"26.79","RothC","1_2","1","2",""
"1970",NA,NA,NA,"26.7465","RothC","1_2","1","2",""
"1971",NA,NA,NA,"26.6562","RothC","1_2","1","2",""
"1972",NA,NA,NA,"26.6936","RothC","1_2","1","2",""
"1973",NA,NA,NA,"26.57","RothC","1_2","1","2",""
"1974",NA,NA,NA,"26.5638","RothC","1_2","1","2",""
"1975",NA,NA,NA,"26.4387","RothC","1_2","1","2",""
"1976",NA,NA,NA,"26.4477","RothC","1_2","1","2",""
"1977",NA,NA,NA,"26.3528","RothC","1_2","1","2",""
"1978",NA,NA,NA,"26.3891","RothC","1_2","1","2",""
"1979",NA,NA,NA,"26.265","RothC","1_2","1","2",""
"1980",NA,NA,NA,"26.2896","RothC","1_2","1","2",""
"1981",NA,NA,NA,"26.1571","RothC","1_2","1","2",""
"1982",NA,NA,NA,"26.2091","RothC","1_2","1","2",""
"1983",NA,NA,NA,"26.1029","RothC","1_2","1","2",""
"1984",NA,NA,NA,"26.1502","RothC","1_2","1","2",""
"1985",NA,NA,NA,"26.0175","RothC","1_2","1","2",""
"1986",NA,NA,NA,"26.033","RothC","1_2","1","2",""
"1987",NA,NA,NA,"25.8938","RothC","1_2","1","2",""
"1988",NA,NA,NA,"25.9383","RothC","1_2","1","2",""
"1989",NA,NA,NA,"25.8037","RothC","1_2","1","2",""
"1990",NA,NA,NA,"25.961","RothC","1_2","1","2",""
"1991",NA,NA,NA,"25.7094","RothC","1_2","1","2",""
"1992",NA,NA,NA,"25.956","RothC","1_2","1","2",""
"1993",NA,NA,NA,"25.6763","RothC","1_2","1","2",""
"1994",NA,NA,NA,"25.71","RothC","1_2","1","2",""
"1995",NA,NA,NA,"25.669","RothC","1_2","1","2",""
"1996",NA,NA,NA,"25.4884","RothC","1_2","1","2",""
"1997",NA,NA,NA,"25.5955","RothC","1_2","1","2",""
"1998",NA,NA,NA,"25.6291","RothC","1_2","1","2",""
"1999",NA,NA,NA,"25.5454","RothC","1_2","1","2",""
"2000",NA,NA,NA,"25.6851","RothC","1_2","1","2",""
"2001",NA,NA,NA,"25.7329","RothC","1_2","1","2",""
"2002",NA,NA,NA,"25.8837","RothC","1_2","1","2",""
"2003",NA,NA,NA,"25.8721","RothC","1_2","1","2",""
"2004",NA,NA,NA,"25.8141","RothC","1_2","1","2",""
"2005",NA,NA,NA,"25.5742","RothC","1_2","1","2",""
