"year","MaizeYld_Mgha","SoyYld_Mgha","WheatYld_Mgha","SOC_Mgha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
1989,6.414,0,0,22,"APSIM","1_53",1,5,3
1990,0,2.512,0,22.2,"APSIM","1_53",1,5,3
1991,7.264,0,0,22.9,"APSIM","1_53",1,5,3
1992,0,1.169,0,23.1,"APSIM","1_53",1,5,3
1993,9.515,0,0,23.7,"APSIM","1_53",1,5,3
1994,0,2.623,0,23.5,"APSIM","1_53",1,5,3
1995,0,0,3.758,24.4,"APSIM","1_53",1,5,3
1996,8.103,0,0,24.2,"APSIM","1_53",1,5,3
1997,0,2.062,0,24,"APSIM","1_53",1,5,3
1998,0,0,3.076,24.8,"APSIM","1_53",1,5,3
1999,8.066,0,0,24.2,"APSIM","1_53",1,5,3
2000,0,2.147,0,24.4,"APSIM","1_53",1,5,3
2001,0,0,4.358,25.1,"APSIM","1_53",1,5,3
2002,7.934,0,0,24.9,"APSIM","1_53",1,5,3
2003,0,1.668,0,24.9,"APSIM","1_53",1,5,3
2004,0,0,3.931,25.4,"APSIM","1_53",1,5,3
2005,8.031,0,0,25,"APSIM","1_53",1,5,3
2006,0,1.804,0,25.1,"APSIM","1_53",1,5,3
2007,0,0,4.066,25.7,"APSIM","1_53",1,5,3
2008,9.305,0,0,25.4,"APSIM","1_53",1,5,3
2009,0,2.409,0,25.4,"APSIM","1_53",1,5,3
2010,0,0,3.027,26.2,"APSIM","1_53",1,5,3
2011,10.005,0,0,25.7,"APSIM","1_53",1,5,3
2012,0,2.425,0,25.7,"APSIM","1_53",1,5,3
2013,0,0,2.403,26.3,"APSIM","1_53",1,5,3
2014,10.583,0,0,25.9,"APSIM","1_53",1,5,3
2015,0,2.716,0,26,"APSIM","1_53",1,5,3
2016,0,0,2.21,27,"APSIM","1_53",1,5,3
2017,8.451,0,0,26.5,"APSIM","1_53",1,5,3
2018,0,2.897,0,26.6,"APSIM","1_53",1,5,3
2019,0,0,3.225,27.2,"APSIM","1_53",1,5,3
2020,9.354,0,0,27.6,"APSIM","1_53",1,5,3
2021,0,3.905,0,27.5,"APSIM","1_53",1,5,3
2022,0,0,3.567,28,"APSIM","1_53",1,5,3
2023,11.61,0,0,27.9,"APSIM","1_53",1,5,3
2024,0,1.614,0,28,"APSIM","1_53",1,5,3
2025,0,0,4.73,28.4,"APSIM","1_53",1,5,3
2026,9.428,0,0,28.7,"APSIM","1_53",1,5,3
2027,0,2.137,0,28.8,"APSIM","1_53",1,5,3
2028,0,0,4.88,29.1,"APSIM","1_53",1,5,3
2029,8.114,0,0,29.5,"APSIM","1_53",1,5,3
2030,0,3.06,0,29.4,"APSIM","1_53",1,5,3
2031,0,0,4.271,29.9,"APSIM","1_53",1,5,3
2032,9.894,0,0,29.8,"APSIM","1_53",1,5,3
2033,0,2.386,0,29.7,"APSIM","1_53",1,5,3
2034,0,0,4.893,29.9,"APSIM","1_53",1,5,3
