"Model","Climate_Scenario","Mgmt_Scenario","Scenario_Name","Maize_Diff_Mgha","Soybean_Diff_Mgha","Wheat_Diff_Mgha","SOC_Diff_Mgha","Total_N2O_kgha","N2O_Diff_kgha","Total_CH4_kgha","CH4_Diff_kgha","Total_SOC_Mgha"
"Daycent",1,1,"1_1","-0.97736541234568","0.169877906172845","0.0965899999999986","2.1","66.0729923","-0.0173633491040658","-54.8787227","0.128471264866712","28.2"
"APSIM",1,1,"1_1","-0.288346666666671","-0.173991111111098","0.502015873015869","9.3","47.43992","0.220639215189873",NA,NA,"38.7"
"Millennial",1,1,"1_1",NA,NA,NA,"0.609818163266297",NA,NA,NA,NA,"67.128981575958"
"RothC",1,1,"1_1",NA,NA,NA,"-1.7587",NA,NA,NA,NA,"19.4673"
"APSIM",1,2,"1_2","-0.294835555555556","-0.186168888888875","0.116682539682538","9.7","49.21821","0.252108664556961",NA,NA,"40.2"
"Daycent",1,2,"1_2","-1.01697424197531","0.163180622222228","0.0411576000000009","0.899999999999999","56.9565751","-0.0391394533947099","-52.2461537","0.104578219890635","32"
"Millennial",1,2,"1_2",NA,NA,NA,"4.9273866188411",NA,NA,NA,NA,"70.9773838810627"
"RothC",1,2,"1_2",NA,NA,NA,"2.3965",NA,NA,NA,NA,"28.7072"
"APSIM",1,3,"1_3","-0.155262222222223","-0.412906666666652","0.236222222222222","6.8","17.55484","0.0756710316455697",NA,NA,"36.2"
"Daycent",1,3,"1_3","-0.642309372839506","0.213747476543216","0.00459831111110987","-0.600000000000001","52.4826856","-0.0547256009206012","-28.4761441","0.084590374162678","27.4"
"Millennial",1,3,"1_3",NA,NA,NA,"1.36370925456431",NA,NA,NA,NA,"74.8118592617647"
"RothC",1,3,"1_3",NA,NA,NA,"0.562000000000001",NA,NA,NA,NA,"27.7441"
"APSIM",1,41,"1_41","-0.296204444444449","-0.174035555555543","0.0573809523809521","9.9","44.17937","0.236365234177215",NA,NA,"37.9"
"Daycent",1,41,"1_41","-0.949473422222223","0.169557925925932","0.0870427999999999","1.8","63.6349033","-0.0219198848265708","-55.7309568","0.118003252699932","27.9"
