"","Climate_Scenario","Mgmt_Scenario","Scenario_Name","mean_MaizeYld_Mgha","mean_SoyYld_Mgha","mean_WheatYld_Mgha","mean_SOC_Mgha","mean_N2O_Mgha","mean_CH4_Mgha","mean_CO2e_SOC","mean_CO2e_N2O","mean_CO2e_CH4","mean_GWP","sd_MaizeYld_Mgha","sd_SoyYld_Mgha","sd_WheatYld_Mgha","sd_SOC_Mgha","sd_N2O_Mgha","sd_CH4_Mgha","sd_CO2e_SOC","sd_CO2e_N2O","sd_CO2e_CH4","sd_GWP","scenario_abbrev"
"1",1,1,"1_1",-0.6,0,0.3,2.56,0.06,-0.05,-9.4,16.91,-1.54,6,0.5,0.2,0.3,4.76,0.01,0,17.47,2.27,0,19,"CR"
"2",1,2,"1_2",-0.7,0,0.1,4.48,0.05,-0.05,-16.43,15.82,-1.46,-2.1,0.5,0.2,0.1,3.86,0,0,14.14,0.94,0,15,"NT-CR"
"3",1,3,"1_3",-0.4,-0.1,0.1,2.03,0.04,-0.03,-7.45,10.44,-0.8,2.2,0.3,0.4,0.2,3.28,0.01,0,12.03,4.25,0,16,"CC-CR"
"4",1,41,"1_41",-0.6,0,0.1,2.7,0.05,-0.06,-9.91,16.06,-1.56,4.6,0.5,0.2,0,5.06,0.01,0,18.56,2.37,0,20.2,"RF05-CR"
"5",1,42,"1_42",-0.6,0,0,2.13,0.05,-0.06,-7.8,14.66,-1.61,5.2,0.4,0.2,0.1,5.25,0.01,0,19.25,2.31,0,20.9,"RF15-CR"
"6",1,43,"1_43",-0.6,0,0,1.49,0.04,-0.06,-5.45,13.28,-1.68,6.2,0.4,0.2,0.1,5.43,0.01,0,19.92,2.23,0,21.5,"RF25-CR"
"7",1,44,"1_44",-0.6,0,0,0.78,0.04,-0.06,-2.87,11.94,-1.78,7.3,0.4,0.2,0.1,5.74,0.01,0,21.04,2.12,0,22.5,"RF35-CR"
"8",1,51,"1_51",-0.4,0,0.1,2.52,0.05,-0.04,-9.22,15.38,-1.19,5,0.3,0.3,0.3,3.05,0.01,0,11.19,4.01,0,9.8,"RR50-CR"
"9",1,52,"1_52",-0.2,0,0.3,5.49,0.05,-0.03,-20.13,16.24,-0.87,-4.8,0,0.3,0.4,4.63,0.01,0,16.97,3.37,0,16.2,"RR25-CR"
"10",1,53,"1_53",0,0,0.4,8.27,0.06,-0.02,-30.31,17.22,-0.57,-13.7,0.4,0.3,0.5,5.97,0.01,0,21.9,2.75,0,21.7,"RR00-CR"
"11",1,61,"1_61",-1,0.1,0,22.5,0.03,NA,-82.51,9.2,NA,-73.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC19-CR"
"12",1,62,"1_62",-1,0.1,0,32.1,0.03,NA,-117.71,8.94,NA,-108.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC38-CR"
"13",1,63,"1_63",-1,0.1,0,41.5,0.03,NA,-152.18,8.73,NA,-143.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC57-CR"
"14",1,64,"1_64",-1,0.1,0,50.6,0.03,NA,-185.55,8.59,NA,-177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC76-CR"
"15",1,65,"1_65",-1,0.1,0.1,59.8,0.03,NA,-219.29,8.46,NA,-210.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BC96-CR"
"16",2,1,"2_1",-1,0.3,0.4,1.19,0.06,-0.05,-4.36,16.65,-1.54,10.8,0,0.2,0.4,2.36,0.01,0,8.64,2.48,0,9.7,"CR"
"17",2,2,"2_2",-1.1,0.3,0.4,3.13,0.05,-0.05,-11.48,15.51,-1.46,2.6,0.1,0.2,0.5,1.84,0,0,6.73,1.2,0,7.7,"NT-CR"
"18",2,3,"2_3",-0.8,0.2,0.3,1.01,0.04,-0.03,-3.69,10.71,-0.8,6.2,0.2,0,0.4,1.39,0.01,0,5.09,4.02,0,9,"CC-CR"
"19",2,41,"2_41",-1,0.3,0.4,1.38,0.05,-0.06,-5.05,15.8,-1.56,9.2,0,0.2,0.4,2.69,0.01,0,9.85,2.58,0,11.2,"RF05-CR"
