source	id	datetime	layer	level[m]	extension[m]	som[kgDWha-1]	min[kgDWha-1]	C_hum[kgCha-1]	C_aorg[kgCha-1]	C_litter_1[kgCha-1]	C_litter_2[kgCha-1]	C_litter_3[kgCha-1]	C_mic_1[kgCha-1]	C_mic_2[kgCha-1]	C_mic_3[kgCha-1]	C_doc[kgCha-1]	N_hum[kgNha-1]	N_aorg[kgNha-1]	N_litter[kgNha-1]	N_mic[kgNha-1]	N_nh4_clay[kgNha-1]	N_nh4[kgNha-1]	N_nh3[kgNha-1]	N_no3[kgNha-1]	N_no[kgNha-1]	N_n2o[kgNha-1]	N_don[kgNha-1]	S_so4[kgSha-1]	ph[-]	anvf[-]	o2[bar]	dN_mineral[kgNha-1]	dN_nitrify[kgNha-1]	dN_denitrify[kgNha-1]
setup	0	1989-01-01 00:00:00	-1	-0.02	0.02	518489	-220520	259140	18.965	8.34088	59.2227	16.934	0.74973	0.301829	0.0955	5.49371	16941.4	2.38	1.20911	0.141332	0.0257522	0.10002	2.51309e-06	0.364798	2.32431e-07	1.02088e-05	0.0514428	0	5.5	0.225723	0.049282	1.23396e-05	3.31218e-08	3.39013e-07
setup	0	1989-01-01 00:00:00	-2	-0.05	0.03	777741	-330780	388713	28.4451	12.619	89.0111	25.304	0.482591	1.09954	0.143558	4.35785	26625.2	3.57	1.90362	0.185342	0.0252167	0.094262	2.4662e-06	0.428716	5.56935e-06	0.000163916	0.0275956	0	5.5	0.668526	0.0394253	1.16911e-05	1.81592e-08	4.9147e-06
setup	0	1989-01-01 00:00:00	-3	-0.1	0.05	1.29624e+06	-551300	647859	47.4022	21.1942	148.924	42.1928	0.18651	2.46126	0.23942	3.66277	46590.9	5.95	3.34526	0.347214	0.0234836	0.082698	2.27973e-06	0.488962	1.5845e-05	0.000417697	0.00181938	0	5.5	0.923451	0.02564	1.03064e-05	4.48925e-09	1.4379e-05
setup	0	1989-01-01 00:00:00	-4	-0.2	0.1	2.59249e+06	-1.1026e+06	1.29572e+06	94.7811	42.434	298.008	84.393	0.103778	5.18443	0.478986	5.00448	99685.9	11.6097	7.16508	0.636907	0.0662251	0.246808	6.33041e-06	0.601573	2.99028e-05	0.000730327	0.0639472	0	5.5	0.978778	0.0161444	3.14443e-05	8.77966e-10	2.47034e-05
setup	0	1989-01-01 00:00:00	-5	-0.4	0.2	2.56279e+06	417200	1.28135e+06	7.69439	3.39585	24.023	6.84764	0.0599108	0.366353	0.0386931	0.724916	109350	0.812498	0.641327	0.0530287	0.0285128	0.0763951	2.14444e-06	0.80307	6.61248e-06	0.000315011	0.0343342	0	5.5	0.85161	0.0557709	9.70463e-06	8.85916e-10	3.48045e-07
setup	0	1989-01-01 00:00:00	-6	-0.6	0.2	2.5628e+06	417200	1.28139e+06	1.04127	0.455523	3.2368	0.92628	0.0179695	0.0396594	0.00523279	0.32881	122704	0.0973117	0.0970573	0.00752041	0.00792629	0.0209944	5.68911e-07	0.362736	3.44878e-06	3.6678e-05	6.12682e-05	0	5.5	0.670687	0.0892344	2.52702e-06	1.97072e-10	1.02805e-08
setup	0	1989-01-01 00:00:00	-7	-0.8	0.2	1.49959e+06	1.71841e+06	749793	0.145655	0.0633435	0.451437	0.12953	0.00367998	0.00439044	0.000731823	0.174993	79711.7	0.0128231	0.0150435	0.00107453	0.00182795	0.00735471	1.92599e-06	0.163044	3.54896e-06	1.35955e-05	2.34132e-05	0	6.5	0.529514	0.113679	7.53319e-07	5.29873e-11	3.69066e-10
setup	0	1989-01-01 00:00:00	-8	-1	0.2	1.23804e+06	2.01996e+06	619020	0.0179493	0.00779814	0.0556037	0.0159614	0.000481008	0.000513882	9.01815e-05	0.150703	72737.9	0.00153603	0.00205034	0.000133873	0.000729986	0.00478422	1.25149e-06	0.0732623	2.62814e-06	7.58937e-06	1.88794e-05	0	6.5	0.505395	0.117855	4.76767e-07	1.11268e-11	2.59e-11
setup	0	1989-01-01 00:00:00	-9	-1.2	0.2	607312	2.54269e+06	303656	0.00227735	0.000988906	0.00705305	0.00202508	6.44729e-05	6.1749e-05	1.14414e-05	0.0817572	37491.2	0.000192261	0.000273421	1.70782e-05	0.000236401	0.00260189	6.80577e-07	0.032919	2.60556e-06	6.91605e-06	1.04287e-05	0	6.5	0.491284	0.120394	2.49995e-07	2.43022e-12	1.43193e-12
setup	0	1989-01-01 00:00:00	-10	-1.4	0.2	407093	2.74291e+06	203547	0.000308206	0.000133831	0.000954516	0.000274064	8.83041e-06	8.23897e-06	1.54839e-06	0.0544476	25131.1	2.58591e-05	3.70031e-05	2.31713e-06	0.000122925	0.00168283	4.40156e-07	0.0147915	2.07422e-06	5.21606e-06	6.98423e-06	0	6.5	0.487898	0.120996	1.65168e-07	5.00178e-13	9.98586e-14
