forc_st	forc_sw	forc_npp	date	crop
9.74	0.26	0	1850-01-01	corn
9.37	0.26	0	1850-01-02	corn
9.04	0.26	0	1850-01-03	corn
8.7	0.26	0	1850-01-04	corn
8.36	0.26	0	1850-01-05	corn
8.03	0.26	0	1850-01-06	corn
7.72	0.26	0	1850-01-07	corn
7.44	0.26	0	1850-01-08	corn
7.19	0.26	0	1850-01-09	corn
7	0.26	0	1850-01-10	corn
6.79	0.26	0	1850-01-11	corn
6.59	0.26	0	1850-01-12	corn
6.46	0.26	0	1850-01-13	corn
6.32	0.26	0	1850-01-14	corn
6.17	0.26	0	1850-01-15	corn
6.02	0.26	0	1850-01-16	corn
5.86	0.26	0	1850-01-17	corn
5.7	0.26	0	1850-01-18	corn
5.52	0.2601	0	1850-01-19	corn
5.32	0.2601	0	1850-01-20	corn
5.17	0.2602	0	1850-01-21	corn
5.07	0.2602	0	1850-01-22	corn
4.98	0.2603	0	1850-01-23	corn
4.92	0.26	0	1850-01-24	corn
4.92	0.26	0	1850-01-25	corn
4.9	0.26	0	1850-01-26	corn
4.78	0.26	0	1850-01-27	corn
4.66	0.26	0	1850-01-28	corn
4.57	0.26	0	1850-01-29	corn
4.42	0.26	0	1850-01-30	corn
4.28	0.26	0	1850-01-31	corn
4.14	0.26	0	1850-02-01	corn
3.93	0.26	0	1850-02-02	corn
3.63	0.26	0	1850-02-03	corn
3.41	0.26	0	1850-02-04	corn
3.27	0.26	0	1850-02-05	corn
3.26	0.26	0	1850-02-06	corn
3.25	0.26	0	1850-02-07	corn
3.2	0.26	0	1850-02-08	corn
3.17	0.26	0	1850-02-09	corn
3.16	0.26	0	1850-02-10	corn
3.15	0.26	0	1850-02-11	corn
3.12	0.26	0	1850-02-12	corn
3.09	0.26	0	1850-02-13	corn
3.06	0.26	0	1850-02-14	corn
3.04	0.26	0	1850-02-15	corn
3.02	0.26	0	1850-02-16	corn
3	0.26	0	1850-02-17	corn
2.97	0.26	0	1850-02-18	corn
2.94	0.26	0	1850-02-19	corn
2.88	0.26	0	1850-02-20	corn
2.84	0.26	0	1850-02-21	corn
2.8	0.26	0	1850-02-22	corn
2.76	0.26	0	1850-02-23	corn
2.73	0.2601	0	1850-02-24	corn
2.7	0.2601	0	1850-02-25	corn
2.66	0.2601	0	1850-02-26	corn
2.62	0.2601	0	1850-02-27	corn
2.6	0.2601	0	1850-02-28	corn
2.58	0.2601	0	1850-03-01	corn
2.57	0.2601	0	1850-03-02	corn
2.56	0.2601	0	1850-03-03	corn
2.54	0.2602	0	1850-03-04	corn
2.53	0.2602	0	1850-03-05	corn
2.51	0.2602	0	1850-03-06	corn
2.5	0.2602	0	1850-03-07	corn
2.48	0.2603	0	1850-03-08	corn
2.46	0.2604	0	1850-03-09	corn
2.42	0.2637	0	1850-03-10	corn
2.4	0.2788	0	1850-03-11	corn
2.37	0.2894	0	1850-03-12	corn
2.34	0.2894	0	1850-03-13	corn
2.31	0.2994	0	1850-03-14	corn
2.28	0.3372	0	1850-03-15	corn
2.26	0.3372	0	1850-03-16	corn
2.23	0.3372	0	1850-03-17	corn
2.2	0.3372	0	1850-03-18	corn
2.17	0.341	0	1850-03-19	corn
2.15	0.4176	0	1850-03-20	corn
2.15	0.4844	0	1850-03-21	corn
2.15	0.552	0	1850-03-22	corn
2.16	0.552	0	1850-03-23	corn
2.17	0.26	0	1850-03-24	corn
2.2	0.26	0	1850-03-25	corn
2.33	0.26	0	1850-03-26	corn
2.65	0.26	0	1850-03-27	corn
2.92	0.26	0	1850-03-28	corn
2.96	0.26	0	1850-03-29	corn
2.89	0.26	0	1850-03-30	corn
2.94	0.26	0	1850-03-31	corn
3.06	0.26	0	1850-04-01	corn
3.06	0.26	0	1850-04-02	corn
3.24	0.26	0	1850-04-03	corn
3.45	0.26	0	1850-04-04	corn
3.49	0.26	0	1850-04-05	corn
3.38	0.26	0	1850-04-06	corn
3.4	0.26	0	1850-04-07	corn
3.47	0.26	0	1850-04-08	corn
3.41	0.2599	0	1850-04-09	corn
3.61	0.26	0	1850-04-10	corn
3.93	0.26	0	1850-04-11	corn
3.96	0.26	0	1850-04-12	corn
3.74	0.2599	0	1850-04-13	corn
3.57	0.2599	0	1850-04-14	corn
3.59	0.2599	0	1850-04-15	corn
3.82	0.2598	0	1850-04-16	corn
4.3	0.2597	0	1850-04-17	corn
4.84	0.2595	0	1850-04-18	corn
5.23	0.2591	0	1850-04-19	corn
