"forc_st" "forc_sw" "forc_npp" "month" "day"
5.9715 0.2489 0.01764 1 1
6.0175 0.2486 0.01764 1 2
5.9957 0.2482 0.01764 1 3
5.9169 0.2482 0.01764 1 4
5.7859 0.2477 0.01764 1 5
5.7284 0.2476 0.01764 1 6
5.6678 0.2476 0.01764 1 7
5.6865 0.2477 0.01764 1 8
5.7756 0.2471 0.01764 1 9
5.8282 0.2467 0.01764 1 10
5.7819 0.2469 0.01764 1 11
5.6684 0.2474 0.01764 1 12
5.5855 0.248 0.01764 1 13
5.5105 0.2478 0.01764 1 14
5.4131 0.2473 0.01764 1 15
5.4094 0.2475 0.01764 1 16
5.5318 0.2483 0.01764 1 17
5.7127 0.2488 0.01764 1 18
5.8252 0.2489 0.01764 1 19
5.8794 0.2488 0.01764 1 20
5.9136 0.2489 0.01764 1 21
5.933 0.2486 0.01764 1 22
5.9073 0.2484 0.01764 1 23
5.8919 0.2479 0.01764 1 24
5.8318 0.2475 0.01764 1 25
5.7939 0.2471 0.01764 1 26
5.852 0.2469 0.01764 1 27
5.9019 0.2472 0.01764 1 28
5.9763 0.2472 0.01764 1 29
5.9669 0.2471 0.01764 1 30
5.9575 0.247 0.01764 1 31
5.8626 0.2471 0.01764 2 1
5.7651 0.2475 0.01764 2 2
5.612 0.2479 0.01764 2 3
5.5451 0.2479 0.01764 2 4
5.6138 0.2474 0.01764 2 5
5.7647 0.2472 0.01764 2 6
5.7899 0.247 0.01764 2 7
5.7848 0.2469 0.01764 2 8
5.785 0.2468 0.01764 2 9
5.8285 0.2463 0.01764 2 10
5.8921 0.246 0.01764 2 11
6.0028 0.2458 0.01764 2 12
6.1484 0.2459 0.01764 2 13
6.2493 0.2456 0.01764 2 14
6.2843 0.2454 0.01764 2 15
6.3079 0.2459 0.01764 2 16
6.3447 0.2463 0.01764 2 17
6.3272 0.2462 0.01764 2 18
6.2682 0.246 0.01764 2 19
6.2425 0.2459 0.01764 2 20
6.3026 0.2457 0.01764 2 21
6.3565 0.2454 0.01764 2 22
6.4636 0.2452 0.01764 2 23
6.6232 0.2451 0.01764 2 24
6.6996 0.245 0.01764 2 25
6.8042 0.2447 0.01764 2 26
6.9166 0.2445 0.01764 2 27
7.0132 0.2447 0.01764 2 28
